tau,NB,treat_rate,TP,FP,NB_low90,NB_high90,NB_all,NB_none,day,fold,T
0.05,0.03915586066615815,0.12560386473429952,45,85,0.028695575012504217,0.048493292015278563,0.08263412153572336,0,6,1,100
0.1,0.03446054750402577,0.11497584541062802,44,75,0.023868913049667137,0.04420511787765764,0.03166935050993021,0,6,1,100
0.15000000000000002,0.0292128445581131,0.09855072463768116,41,61,0.018591986705183482,0.03956181725668576,-0.02529127593066216,0,6,1,100
0.2,0.025120772946859903,0.0927536231884058,40,56,0.014644594893974959,0.035572277834214155,-0.08937198067632851,0,6,1,100
0.25,0.021256038647342997,0.08309178743961353,38,48,0.009985110297775398,0.0315519996339968,-0.1619967793880837,0,6,1,100
0.3,0.015734989648033125,0.07922705314009662,36,46,0.004942156806267826,0.026256610723370665,-0.24499654934437548,0,6,1,100
0.35000000000000003,0.012931995540691191,0.07536231884057971,36,42,0.0010391219356810388,0.02334348573867292,-0.34076551467855826,0,6,1,100
0.4,0.009661835748792268,0.07246376811594203,36,39,-0.0020122069462532935,0.020697537723735466,-0.45249597423510474,0,6,1,100
0.45,0.0010540184453227928,0.06956521739130435,33,39,-0.011357658297825687,0.01271611436798901,-0.5845410628019323,0,6,1,100
0.5,-0.005797101449275362,0.06763285024154589,32,38,-0.020155329130575494,0.006131712307641511,-0.7429951690821257,0,6,1,100
0.55,-0.012775093934514242,0.06666666666666667,32,37,-0.02800894788753374,8.646615127863656e-4,-0.93666129898014,0,6,1,100
0.6000000000000001,-0.01642512077294688,0.06086956521739131,31,32,-0.032144517420569015,-0.0015689771984435377,-1.1787439613526578,0,6,1,100
0.6500000000000001,-0.028433402346445858,0.05990338164251208,30,32,-0.04716561342925755,-0.011846187669876674,-1.489993098688752,0,6,1,100
0.7000000000000001,-0.037359098228663463,0.05603864734299517,29,29,-0.05901005141625182,-0.017672476940762863,-1.9049919484702098,0,6,1,100
0.7500000000000001,-0.05314009661835754,0.051207729468599035,26,27,-0.07916036195932347,-0.02854240721478647,-2.4859903381642527,0,6,1,100
0.8,-0.07729468599033819,0.04830917874396135,24,26,-0.11048595870182022,-0.04597938422801634,-3.357487922705315,0,6,1,100
0.8500000000000001,-0.08083735909822873,0.04154589371980676,24,19,-0.12604306359799722,-0.04442499876378603,-4.809983896940422,0,6,1,100
0.9000000000000001,-0.12753623188405822,0.03671497584541063,21,17,-0.20259495418176005,-0.07932139574482383,-7.71497584541064,0,6,1,100
0.95,-0.22125603864734275,0.02995169082125604,18,13,-0.3510131155750867,-0.13125555137461495,-16.429951690821245,0,6,1,100
