day,folds,n_test_tot,rmse_y,mae_y,r2_y,rmse_pct,mae_pct,cov80_y,cov95_y,wid80_y,wid95_y,cov80_pct,cov95_pct,wid80_pct,wid95_pct
1,5,5135,0.3255726348928231,0.21440977090287444,0.3270466530012002,31.45963740965593,25.972996874634987,0.18710501700517457,0.2905523215019195,0.13955253825892527,0.21557299152541642,0.20248237994511953,0.3086578380920127,18.85517783786958,28.667916094275913
2,5,5135,0.3141219559368961,0.2010167511797443,0.36956548401768075,29.77699093073193,23.966070270469476,0.20378753395980506,0.3085319009474654,0.13771864184270757,0.21182026842699164,0.22635762654994707,0.3307089804379309,17.99633517493945,27.305353411702622
3,5,5135,0.31515285975841983,0.1959988203539673,0.3681649495999293,29.124770424404584,23.10404163552894,0.21327986532881527,0.3190427551378436,0.1341462113201398,0.2067753462168624,0.23877951451144083,0.34591437444722734,17.310796772949512,26.147082846445738
4,5,5135,0.31755333751621206,0.19234448019494166,0.36742113402023924,28.49591720503849,22.433836780883727,0.23233349870724987,0.33520144714860467,0.13715697254178255,0.21099449145005414,0.26171832253082955,0.36460526441543883,17.401526637765155,26.34306360690772
5,5,5135,0.3147883761049098,0.190010488833938,0.37663322007216793,28.198987033744896,22.119033511401685,0.22067322734468323,0.3319266911935346,0.13293006711414557,0.20482507281043172,0.249297498912791,0.35839616051596757,16.88315588615428,25.602555785504567
6,5,5135,0.30692402252841916,0.18812333317217672,0.4045327169684095,28.044982854904042,22.02567080915862,0.23296514837716353,0.35080800483949415,0.13818155979011587,0.21122804278497936,0.26060600331769646,0.37612514063335667,17.535947011126595,26.33965259901678
7,5,5135,0.3007678441797929,0.18707553906681154,0.42472901362466675,28.03165205059806,21.862813958129205,0.23315373118911759,0.342395480315007,0.13589788652809787,0.20902651136812345,0.26156905132414904,0.3708182120147069,17.068160309420485,25.877865849422538
8,5,5135,0.30723064271981204,0.18601359478586402,0.4044820496824941,27.878796432364346,21.651658327587757,0.23546673037125407,0.34415063280357916,0.13259922179733694,0.2037629277795782,0.26059055687817473,0.37045547348857244,16.7683749614988,25.367867581587166
9,5,5135,0.29606068684530407,0.18298853469170875,0.4385586889628888,27.61056342926423,21.425631329843814,0.24563947823761195,0.3486831588648645,0.13276755003143764,0.20454982043030215,0.2738569881263033,0.3767148983650215,16.81390811439776,25.487597290415433
10,5,5135,0.301382396990229,0.18483615698956626,0.4221003835191789,27.6420628980323,21.48855600961826,0.229084147082978,0.3432508452450481,0.13455916608129437,0.2070128516508441,0.2571113073439391,0.37107464089293596,16.837813067828307,25.51662346681376
11,5,5135,0.2953829111574244,0.18310470784716518,0.43960841316549004,27.673574043813222,21.47227544321399,0.23626274291005653,0.35254012995990597,0.13336338533781977,0.20517603278638483,0.2637152588872412,0.3790127041901379,16.952540198059324,25.662251120480708
12,5,5135,0.29581422660779627,0.18262132503338832,0.43730195929854554,27.532251486704894,21.408928044978605,0.2385642230293643,0.3412903740613438,0.13170062873006913,0.2022770762594551,0.26348504413746016,0.3699044152161462,16.806152792985802,25.258696664214817
13,5,5135,0.29622786701829223,0.18205158297662444,0.4363199289581473,27.38838818508946,21.261925409409866,0.22576640083705712,0.3400968511830158,0.12938589882458745,0.1996180669266987,0.2534131891263596,0.3694944543008948,16.282311928118006,24.66673391549615
14,5,5135,0.2973669553394229,0.18223138296386157,0.43280507968907994,27.472547875769873,21.346504469828485,0.23430792273658674,0.34781915920859013,0.1347600747272901,0.20671537081772937,0.2635241366523616,0.37761045555927586,17.20281343833553,25.875973963079986
15,5,5135,0.2955692886284689,0.18160582244468132,0.4402394742448824,27.412344527158016,21.18077341477922,0.23493422032231245,0.3447737998716214,0.13054976880630187,0.20096469908704764,0.2631544115504477,0.3716446205151159,16.511308877038317,25.020167809072973
16,5,5135,0.29638831009483424,0.18154267487296316,0.43402133799508097,27.34499352715339,21.183495301193798,0.23690829833311336,0.3482600577223912,0.13265662430225775,0.20402533690429497,0.2649451527483627,0.376896950650729,16.924277991294886,25.503703124405522
17,5,5135,0.29513157282589386,0.18040788123249188,0.43552938089453846,27.198458453972766,21.074915936279037,0.2345804584492899,0.3578588082981349,0.13448268785258383,0.20548270568940985,0.263792882856513,0.3872603194573246,16.94787013212181,25.383934791066384
18,5,5135,0.2970574432281005,0.1803480561672032,0.43580447012740525,27.239300951456347,20.99720495498957,0.23297590164661833,0.3463273306113887,0.13151632922119808,0.20172974815732048,0.265303132659128,0.37825306642872375,16.50713778818507,24.890260043954004
19,5,5135,0.2939802779707803,0.18099660446984597,0.44176080399847617,27.181883012083972,21.099450113522977,0.22905679066010495,0.3412374939835599,0.128143957690715,0.19793848008672846,0.2613685164525527,0.3702455487069303,16.188025785925404,24.599273092549822
20,5,5135,0.2950947082280731,0.1794726309122915,0.43804079172684457,27.100038365594237,20.927796205840274,0.2308231924241877,0.3412854719456713,0.1276328546457521,0.19667798422762148,0.26080950815822374,0.37010393236109096,16.038137464370813,24.33926807246366
