tau,NB,treat_rate,TP,FP,NB_low90,NB_high90,NB_all,NB_none,day,fold,T
0.05,0.04195270785659802,0.13043478260869565,48,87,0.03180909559785325,0.05343007656254498,0.08263412153572336,0,9,1,100
0.1,0.036822329575952766,0.11304347826086956,46,71,0.02677875819254985,0.04757114924098443,0.03166935050993021,0,9,1,100
0.15000000000000002,0.0292128445581131,0.09855072463768116,41,61,0.01968174853516545,0.03920641854758258,-0.02529127593066216,0,9,1,100
0.2,0.024879227053140093,0.09371980676328502,40,57,0.014845782554367852,0.034939106563260214,-0.08937198067632851,0,9,1,100
0.25,0.019323671497584544,0.08115942028985507,36,48,0.009949230724753446,0.03071985985179081,-0.1619967793880837,0,9,1,100
0.3,0.014630779848171151,0.07536231884057971,34,44,0.004624691844037286,0.0254070126454161,-0.24499654934437548,0,9,1,100
0.35000000000000003,0.011519881085098473,0.07246376811594203,34,41,0.001311674427389555,0.024235009607676355,-0.34076551467855826,0,9,1,100
0.4,0.004186795491143317,0.06859903381642513,31,40,-0.007059893712413932,0.016785168591682796,-0.45249597423510474,0,9,1,100
0.45,-0.0010540184453227894,0.06570048309178744,30,38,-0.012334877391607147,0.011503353010218015,-0.5845410628019323,0,9,1,100
0.5,-0.0048309178743961324,0.06280193236714976,30,35,-0.017801392464005833,0.009129025787089613,-0.7429951690821257,0,9,1,100
0.55,-0.007622114868491691,0.05893719806763285,30,31,-0.02201166669261562,0.0072791937519124566,-0.93666129898014,0,9,1,100
0.6000000000000001,-0.015458937198067652,0.05217391304347826,26,28,-0.029457439436101938,9.714137100557898e-4,-1.1787439613526578,0,9,1,100
0.6500000000000001,-0.028019323671497617,0.04927536231884058,23,28,-0.04589548146376406,-0.009802027584742678,-1.489993098688752,0,9,1,100
0.7000000000000001,-0.037359098228663457,0.0463768115942029,22,26,-0.05795144046353236,-0.0174872739721144,-1.9049919484702098,0,9,1,100
0.7500000000000001,-0.04541062801932371,0.043478260869565216,22,23,-0.0694046809406758,-0.02114366472076358,-2.4859903381642527,0,9,1,100
0.8,-0.04154589371980678,0.030917874396135265,17,15,-0.0716646077995867,-0.016755929883654565,-3.357487922705315,0,9,1,100
0.8500000000000001,-0.06859903381642518,0.028019323671497585,14,15,-0.11168740476855445,-0.03741915756967167,-4.809983896940422,0,9,1,100
0.9000000000000001,-0.11787439613526592,0.02705314009661836,13,15,-0.1889174183767449,-0.07157007305204777,-7.71497584541064,0,9,1,100
0.95,-0.20772946859903363,0.024154589371980676,13,12,-0.34152518218143757,-0.10739558197303464,-16.429951690821245,0,9,1,100
