day,T,NB_star_mean,NB_robust_mean,NB_low90_rob_mean,max_NB_point_mean,max_NB_low90_mean,prevalence_mean,day_next,U_now,U_next,VOI,wait_k,utility_used
1,75,0.08726464202084415,0.08726464202084415,0.07312858080188983,0.08726464202084415,0.07312858080188983,0.24458943543293132,2,0.07312858080188983,0.09209950680974584,0.016970926007856005,1,max_NB_low90_mean
2,75,0.1083384827847962,0.1083384827847962,0.09209950680974584,0.1083384827847962,0.09209950680974584,0.24458943543293132,3,0.09209950680974584,0.09985106016825165,0.005751553358505817,1,max_NB_low90_mean
3,75,0.11551054309056984,0.11551054309056984,0.09985106016825165,0.11551054309056984,0.09985106016825165,0.24458943543293132,4,0.09985106016825165,0.10692986095596907,0.005078800787717415,1,max_NB_low90_mean
4,75,0.12287642998527679,0.12287642998527679,0.10692986095596907,0.12287642998527679,0.10692986095596907,0.24458943543293132,5,0.10692986095596907,0.10562587704652353,-0.0033039839094455414,1,max_NB_low90_mean
5,75,0.12241205295400454,0.12241205295400454,0.10562587704652353,0.12241205295400454,0.10562587704652353,0.24458943543293132,6,0.10562587704652353,0.10773351540783703,1.0763836131350187e-4,1,max_NB_low90_mean
6,75,0.1239075164751089,0.1239075164751089,0.10773351540783703,0.1239075164751089,0.10773351540783703,0.24458943543293132,7,0.10773351540783703,0.11105705926766866,0.0013235438598316347,1,max_NB_low90_mean
7,75,0.12764986205497808,0.12764986205497808,0.11105705926766866,0.12764986205497808,0.11105705926766866,0.24458943543293132,8,0.11105705926766866,0.11438731840786283,0.0013302591401941639,1,max_NB_low90_mean
8,75,0.13054829706839674,0.13054829706839674,0.11438731840786283,0.13054829706839674,0.11438731840786283,0.24458943543293132,9,0.11438731840786283,0.11508135661658862,-0.0013059617912742055,1,max_NB_low90_mean
9,75,0.1317969382968357,0.1317969382968357,0.11508135661658862,0.1317969382968357,0.11508135661658862,0.24458943543293132,10,0.11508135661658862,0.114373981040087,-0.0027073755765016205,1,max_NB_low90_mean
10,75,0.1320453885843943,0.1320453885843943,0.114373981040087,0.1320453885843943,0.114373981040087,0.24458943543293132,11,0.114373981040087,0.1116002589327277,-0.004773722107359308,1,max_NB_low90_mean
11,75,0.12908352368168574,0.12908352368168574,0.1116002589327277,0.12908352368168574,0.1116002589327277,0.24458943543293132,12,0.1116002589327277,0.11485649554593184,0.0012562366132041498,1,max_NB_low90_mean
12,75,0.1320772601151557,0.1320772601151557,0.11485649554593184,0.1320772601151557,0.11485649554593184,0.24458943543293132,13,0.11485649554593184,0.11844323500933548,0.0015867394634036403,1,max_NB_low90_mean
13,75,0.1355885173064228,0.1355885173064228,0.11844323500933548,0.1355885173064228,0.11844323500933548,0.24458943543293132,14,0.11844323500933548,0.1165763931197682,-0.003866841889567289,1,max_NB_low90_mean
14,75,0.13367130596310717,0.13367130596310717,0.1165763931197682,0.13367130596310717,0.1165763931197682,0.24458943543293132,15,0.1165763931197682,0.11357856006954825,-0.004997833050219945,1,max_NB_low90_mean
15,75,0.13039903705030212,0.13039903705030212,0.11357856006954825,0.13039903705030212,0.11357856006954825,0.24458943543293132,16,0.11357856006954825,0.11320664184605704,-0.0023719182234912106,1,max_NB_low90_mean
16,75,0.130943776620984,0.130943776620984,0.11320664184605704,0.130943776620984,0.11320664184605704,0.24458943543293132,17,0.11320664184605704,0.11778132095899045,0.0025746791129334107,1,max_NB_low90_mean
17,75,0.13694420654873354,0.13694420654873354,0.11778132095899045,0.13694420654873354,0.11778132095899045,0.24458943543293132,18,0.11778132095899045,0.11704819038277806,-0.002733130576212396,1,max_NB_low90_mean
18,75,0.1346624988619099,0.1346624988619099,0.11704819038277806,0.1346624988619099,0.11704819038277806,0.24458943543293132,19,0.11704819038277806,0.11499870361267849,-0.004049486770099571,1,max_NB_low90_mean
19,75,0.1323395375156847,0.1323395375156847,0.11499870361267849,0.1323395375156847,0.11499870361267849,0.24458943543293132,20,0.11499870361267849,0.11627351962943314,-7.251839832453488e-4,1,max_NB_low90_mean
1,75,0.08726464202084415,0.08726464202084415,0.07312858080188983,0.08726464202084415,0.07312858080188983,0.24458943543293132,3,0.07312858080188983,0.09985106016825165,0.022722479366361823,2,max_NB_low90_mean
2,75,0.1083384827847962,0.1083384827847962,0.09209950680974584,0.1083384827847962,0.09209950680974584,0.24458943543293132,4,0.09209950680974584,0.10692986095596907,0.010830354146223232,2,max_NB_low90_mean
3,75,0.11551054309056984,0.11551054309056984,0.09985106016825165,0.11551054309056984,0.09985106016825165,0.24458943543293132,5,0.09985106016825165,0.10562587704652353,0.0017748168782718739,2,max_NB_low90_mean
4,75,0.12287642998527679,0.12287642998527679,0.10692986095596907,0.12287642998527679,0.10692986095596907,0.24458943543293132,6,0.10692986095596907,0.10773351540783703,-0.0031963455481320395,2,max_NB_low90_mean
5,75,0.12241205295400454,0.12241205295400454,0.10562587704652353,0.12241205295400454,0.10562587704652353,0.24458943543293132,7,0.10562587704652353,0.11105705926766866,0.0014311822211451365,2,max_NB_low90_mean
6,75,0.1239075164751089,0.1239075164751089,0.10773351540783703,0.1239075164751089,0.10773351540783703,0.24458943543293132,8,0.10773351540783703,0.11438731840786283,0.0026538030000257985,2,max_NB_low90_mean
7,75,0.12764986205497808,0.12764986205497808,0.11105705926766866,0.12764986205497808,0.11105705926766866,0.24458943543293132,9,0.11105705926766866,0.11508135661658862,2.429734891995841e-5,2,max_NB_low90_mean
8,75,0.13054829706839674,0.13054829706839674,0.11438731840786283,0.13054829706839674,0.11438731840786283,0.24458943543293132,10,0.11438731840786283,0.114373981040087,-0.004013337367775826,2,max_NB_low90_mean
9,75,0.1317969382968357,0.1317969382968357,0.11508135661658862,0.1317969382968357,0.11508135661658862,0.24458943543293132,11,0.11508135661658862,0.1116002589327277,-0.007481097683860929,2,max_NB_low90_mean
10,75,0.1320453885843943,0.1320453885843943,0.114373981040087,0.1320453885843943,0.114373981040087,0.24458943543293132,12,0.114373981040087,0.11485649554593184,-0.0035174854941551585,2,max_NB_low90_mean
11,75,0.12908352368168574,0.12908352368168574,0.1116002589327277,0.12908352368168574,0.1116002589327277,0.24458943543293132,13,0.1116002589327277,0.11844323500933548,0.00284297607660779,2,max_NB_low90_mean
12,75,0.1320772601151557,0.1320772601151557,0.11485649554593184,0.1320772601151557,0.11485649554593184,0.24458943543293132,14,0.11485649554593184,0.1165763931197682,-0.0022801024261636486,2,max_NB_low90_mean
13,75,0.1355885173064228,0.1355885173064228,0.11844323500933548,0.1355885173064228,0.11844323500933548,0.24458943543293132,15,0.11844323500933548,0.11357856006954825,-0.008864674939787234,2,max_NB_low90_mean
14,75,0.13367130596310717,0.13367130596310717,0.1165763931197682,0.13367130596310717,0.1165763931197682,0.24458943543293132,16,0.1165763931197682,0.11320664184605704,-0.007369751273711155,2,max_NB_low90_mean
15,75,0.13039903705030212,0.13039903705030212,0.11357856006954825,0.13039903705030212,0.11357856006954825,0.24458943543293132,17,0.11357856006954825,0.11778132095899045,2.027608894422002e-4,2,max_NB_low90_mean
16,75,0.130943776620984,0.130943776620984,0.11320664184605704,0.130943776620984,0.11320664184605704,0.24458943543293132,18,0.11320664184605704,0.11704819038277806,-1.5845146327898504e-4,2,max_NB_low90_mean
17,75,0.13694420654873354,0.13694420654873354,0.11778132095899045,0.13694420654873354,0.11778132095899045,0.24458943543293132,19,0.11778132095899045,0.11499870361267849,-0.006782617346311966,2,max_NB_low90_mean
18,75,0.1346624988619099,0.1346624988619099,0.11704819038277806,0.1346624988619099,0.11704819038277806,0.24458943543293132,20,0.11704819038277806,0.11627351962943314,-0.004774670753344919,2,max_NB_low90_mean
1,75,0.08726464202084415,0.08726464202084415,0.07312858080188983,0.08726464202084415,0.07312858080188983,0.24458943543293132,4,0.07312858080188983,0.10692986095596907,0.02780128015407924,3,max_NB_low90_mean
2,75,0.1083384827847962,0.1083384827847962,0.09209950680974584,0.1083384827847962,0.09209950680974584,0.24458943543293132,5,0.09209950680974584,0.10562587704652353,0.0075263702367776904,3,max_NB_low90_mean
3,75,0.11551054309056984,0.11551054309056984,0.09985106016825165,0.11551054309056984,0.09985106016825165,0.24458943543293132,6,0.09985106016825165,0.10773351540783703,0.0018824552395853757,3,max_NB_low90_mean
4,75,0.12287642998527679,0.12287642998527679,0.10692986095596907,0.12287642998527679,0.10692986095596907,0.24458943543293132,7,0.10692986095596907,0.11105705926766866,-0.0018728016883004048,3,max_NB_low90_mean
5,75,0.12241205295400454,0.12241205295400454,0.10562587704652353,0.12241205295400454,0.10562587704652353,0.24458943543293132,8,0.10562587704652353,0.11438731840786283,0.0027614413613393004,3,max_NB_low90_mean
6,75,0.1239075164751089,0.1239075164751089,0.10773351540783703,0.1239075164751089,0.10773351540783703,0.24458943543293132,9,0.10773351540783703,0.11508135661658862,0.001347841208751593,3,max_NB_low90_mean
7,75,0.12764986205497808,0.12764986205497808,0.11105705926766866,0.12764986205497808,0.11105705926766866,0.24458943543293132,10,0.11105705926766866,0.114373981040087,-0.002683078227581662,3,max_NB_low90_mean
8,75,0.13054829706839674,0.13054829706839674,0.11438731840786283,0.13054829706839674,0.11438731840786283,0.24458943543293132,11,0.11438731840786283,0.1116002589327277,-0.008787059475135134,3,max_NB_low90_mean
9,75,0.1317969382968357,0.1317969382968357,0.11508135661658862,0.1317969382968357,0.11508135661658862,0.24458943543293132,12,0.11508135661658862,0.11485649554593184,-0.006224861070656779,3,max_NB_low90_mean
10,75,0.1320453885843943,0.1320453885843943,0.114373981040087,0.1320453885843943,0.114373981040087,0.24458943543293132,13,0.114373981040087,0.11844323500933548,-0.0019307460307515182,3,max_NB_low90_mean
11,75,0.12908352368168574,0.12908352368168574,0.1116002589327277,0.12908352368168574,0.1116002589327277,0.24458943543293132,14,0.1116002589327277,0.1165763931197682,-0.0010238658129594989,3,max_NB_low90_mean
12,75,0.1320772601151557,0.1320772601151557,0.11485649554593184,0.1320772601151557,0.11485649554593184,0.24458943543293132,15,0.11485649554593184,0.11357856006954825,-0.007277935476383593,3,max_NB_low90_mean
13,75,0.1355885173064228,0.1355885173064228,0.11844323500933548,0.1355885173064228,0.11844323500933548,0.24458943543293132,16,0.11844323500933548,0.11320664184605704,-0.011236593163278444,3,max_NB_low90_mean
14,75,0.13367130596310717,0.13367130596310717,0.1165763931197682,0.13367130596310717,0.1165763931197682,0.24458943543293132,17,0.1165763931197682,0.11778132095899045,-0.0047950721607777445,3,max_NB_low90_mean
15,75,0.13039903705030212,0.13039903705030212,0.11357856006954825,0.13039903705030212,0.11357856006954825,0.24458943543293132,18,0.11357856006954825,0.11704819038277806,-0.0025303696867701956,3,max_NB_low90_mean
16,75,0.130943776620984,0.130943776620984,0.11320664184605704,0.130943776620984,0.11320664184605704,0.24458943543293132,19,0.11320664184605704,0.11499870361267849,-0.004207938233378556,3,max_NB_low90_mean
17,75,0.13694420654873354,0.13694420654873354,0.11778132095899045,0.13694420654873354,0.11778132095899045,0.24458943543293132,20,0.11778132095899045,0.11627351962943314,-0.007507801329557315,3,max_NB_low90_mean
1,100,0.024709522355504016,0.024709522355504016,0.017139369692492967,0.024709522355504016,0.017139369692492967,0.1386570458903668,2,0.017139369692492967,0.02851669892973967,0.009377329237246703,1,max_NB_low90_mean
2,100,0.03892462893071449,0.03892462893071449,0.02851669892973967,0.03892462893071449,0.02851669892973967,0.1386570458903668,3,0.02851669892973967,0.03199655311905468,0.001479854189315009,1,max_NB_low90_mean
3,100,0.04217712238387466,0.04217712238387466,0.03199655311905468,0.04217712238387466,0.03199655311905468,0.1386570458903668,4,0.03199655311905468,0.03662689016703738,0.0026303370479826994,1,max_NB_low90_mean
4,100,0.047388485531175355,0.047388485531175355,0.03662689016703738,0.047388485531175355,0.03662689016703738,0.1386570458903668,5,0.03662689016703738,0.037029701255438696,-0.001597188911598683,1,max_NB_low90_mean
5,100,0.04743578434942241,0.04743578434942241,0.037029701255438696,0.04743578434942241,0.037029701255438696,0.1386570458903668,6,0.037029701255438696,0.037876121172816087,-0.0011535800826226097,1,max_NB_low90_mean
6,100,0.048615222498166494,0.048615222498166494,0.037876121172816087,0.048615222498166494,0.037876121172816087,0.1386570458903668,7,0.037876121172816087,0.039083332035577956,-7.927891372381309e-4,1,max_NB_low90_mean
7,100,0.049832197755931784,0.049832197755931784,0.039083332035577956,0.049832197755931784,0.039083332035577956,0.1386570458903668,8,0.039083332035577956,0.03547588250356955,-0.005607449532008408,1,max_NB_low90_mean
8,100,0.04676126934886449,0.04676126934886449,0.03547588250356955,0.04676126934886449,0.03547588250356955,0.1386570458903668,9,0.03547588250356955,0.03884487015956716,0.0013689876559976142,1,max_NB_low90_mean
9,100,0.04936372408573788,0.04936372408573788,0.03884487015956716,0.04936372408573788,0.03884487015956716,0.1386570458903668,10,0.03884487015956716,0.039570144813508894,-0.001274725346058268,1,max_NB_low90_mean
10,100,0.05083370205381016,0.05083370205381016,0.039570144813508894,0.05083370205381016,0.039570144813508894,0.1386570458903668,11,0.039570144813508894,0.0377030923850955,-0.003867052428413396,1,max_NB_low90_mean
11,100,0.0485040787731474,0.0485040787731474,0.0377030923850955,0.0485040787731474,0.0377030923850955,0.1386570458903668,12,0.0377030923850955,0.03757850842060689,-0.0021245839644886046,1,max_NB_low90_mean
12,100,0.048290559678356514,0.048290559678356514,0.03757850842060689,0.048290559678356514,0.03757850842060689,0.1386570458903668,13,0.03757850842060689,0.03957768414465228,-8.242759546150252e-7,1,max_NB_low90_mean
13,100,0.051056338915386607,0.051056338915386607,0.03957768414465228,0.051056338915386607,0.03957768414465228,0.1386570458903668,14,0.03957768414465228,0.038974596680300934,-0.0026030874643513443,1,max_NB_low90_mean
14,100,0.0507875939862965,0.0507875939862965,0.038974596680300934,0.0507875939862965,0.038974596680300934,0.1386570458903668,15,0.038974596680300934,0.037274194430824435,-0.0037004022494764987,1,max_NB_low90_mean
15,100,0.04789691322158601,0.04789691322158601,0.037274194430824435,0.04789691322158601,0.037274194430824435,0.1386570458903668,16,0.037274194430824435,0.03632261713647429,-0.0029515772943501436,1,max_NB_low90_mean
16,100,0.04675121326428516,0.04675121326428516,0.03632261713647429,0.04675121326428516,0.03632261713647429,0.1386570458903668,17,0.03632261713647429,0.04088296070314469,0.0025603435666703995,1,max_NB_low90_mean
17,100,0.05226054352913537,0.05226054352913537,0.04088296070314469,0.05226054352913537,0.04088296070314469,0.1386570458903668,18,0.04088296070314469,0.04154534111741342,-0.0013376195857312725,1,max_NB_low90_mean
18,100,0.05350750401643586,0.05350750401643586,0.04154534111741342,0.05350750401643586,0.04154534111741342,0.1386570458903668,19,0.04154534111741342,0.03923469562921063,-0.004310645488202791,1,max_NB_low90_mean
19,100,0.05065534244823654,0.05065534244823654,0.03923469562921063,0.05065534244823654,0.03923469562921063,0.1386570458903668,20,0.03923469562921063,0.04064746191756516,-5.872337116454695e-4,1,max_NB_low90_mean
1,100,0.024709522355504016,0.024709522355504016,0.017139369692492967,0.024709522355504016,0.017139369692492967,0.1386570458903668,3,0.017139369692492967,0.03199655311905468,0.010857183426561712,2,max_NB_low90_mean
2,100,0.03892462893071449,0.03892462893071449,0.02851669892973967,0.03892462893071449,0.02851669892973967,0.1386570458903668,4,0.02851669892973967,0.03662689016703738,0.004110191237297708,2,max_NB_low90_mean
3,100,0.04217712238387466,0.04217712238387466,0.03199655311905468,0.04217712238387466,0.03199655311905468,0.1386570458903668,5,0.03199655311905468,0.037029701255438696,0.0010331481363840163,2,max_NB_low90_mean
4,100,0.047388485531175355,0.047388485531175355,0.03662689016703738,0.047388485531175355,0.03662689016703738,0.1386570458903668,6,0.03662689016703738,0.037876121172816087,-0.0027507689942212928,2,max_NB_low90_mean
5,100,0.04743578434942241,0.04743578434942241,0.037029701255438696,0.04743578434942241,0.037029701255438696,0.1386570458903668,7,0.037029701255438696,0.039083332035577956,-0.0019463692198607406,2,max_NB_low90_mean
6,100,0.048615222498166494,0.048615222498166494,0.037876121172816087,0.048615222498166494,0.037876121172816087,0.1386570458903668,8,0.037876121172816087,0.03547588250356955,-0.006400238669246539,2,max_NB_low90_mean
7,100,0.049832197755931784,0.049832197755931784,0.039083332035577956,0.049832197755931784,0.039083332035577956,0.1386570458903668,9,0.039083332035577956,0.03884487015956716,-0.004238461876010794,2,max_NB_low90_mean
8,100,0.04676126934886449,0.04676126934886449,0.03547588250356955,0.04676126934886449,0.03547588250356955,0.1386570458903668,10,0.03547588250356955,0.039570144813508894,9.426230993934623e-5,2,max_NB_low90_mean
9,100,0.04936372408573788,0.04936372408573788,0.03884487015956716,0.04936372408573788,0.03884487015956716,0.1386570458903668,11,0.03884487015956716,0.0377030923850955,-0.005141777774471664,2,max_NB_low90_mean
10,100,0.05083370205381016,0.05083370205381016,0.039570144813508894,0.05083370205381016,0.039570144813508894,0.1386570458903668,12,0.039570144813508894,0.03757850842060689,-0.005991636392902001,2,max_NB_low90_mean
11,100,0.0485040787731474,0.0485040787731474,0.0377030923850955,0.0485040787731474,0.0377030923850955,0.1386570458903668,13,0.0377030923850955,0.03957768414465228,-0.0021254082404432197,2,max_NB_low90_mean
12,100,0.048290559678356514,0.048290559678356514,0.03757850842060689,0.048290559678356514,0.03757850842060689,0.1386570458903668,14,0.03757850842060689,0.038974596680300934,-0.0026039117403059593,2,max_NB_low90_mean
13,100,0.051056338915386607,0.051056338915386607,0.03957768414465228,0.051056338915386607,0.03957768414465228,0.1386570458903668,15,0.03957768414465228,0.037274194430824435,-0.006303489713827843,2,max_NB_low90_mean
14,100,0.0507875939862965,0.0507875939862965,0.038974596680300934,0.0507875939862965,0.038974596680300934,0.1386570458903668,16,0.038974596680300934,0.03632261713647429,-0.006651979543826642,2,max_NB_low90_mean
15,100,0.04789691322158601,0.04789691322158601,0.037274194430824435,0.04789691322158601,0.037274194430824435,0.1386570458903668,17,0.037274194430824435,0.04088296070314469,-3.912337276797441e-4,2,max_NB_low90_mean
