tau,NB,treat_rate,TP,FP,NB_low90,NB_high90,NB_all,NB_none,day,fold,T
0.05,0.11075514874141877,0.27246376811594203,123,159,0.0961667765485557,0.12854495697135884,0.1955250444952962,0,3,1,75
0.1,0.08888888888888889,0.23381642512077294,107,135,0.07407915356419056,0.10599012793820159,0.15083199141170153,0,3,1,75
0.15000000000000002,0.07684001136686558,0.20869565217391303,100,116,0.0617026535171477,0.09289289924433065,0.10088093208297808,0,3,1,75
0.2,0.06835748792270532,0.2,98,109,0.053234359844010884,0.08535506304586216,0.04468599033816423,0,3,1,75
0.25,0.061191626409017714,0.18743961352657004,96,98,0.046311198318679685,0.07830817783136808,-0.019001610305958122,0,3,1,75
0.3,0.05521048999309868,0.17391304347826086,94,86,0.03969617649608318,0.07151377747951967,-0.09178743961352662,0,3,1,75
0.35000000000000003,0.044370122630992194,0.16328502415458937,89,80,0.028852396830599182,0.061032989914737726,-0.17577108881456718,0,3,1,75
0.4,0.038003220611916265,0.15072463768115943,86,70,0.021652469863521876,0.05623632813092285,-0.27375201288244777,0,3,1,75
0.45,0.02784365393061046,0.14202898550724638,82,65,0.008996798541415114,0.04621130527472881,-0.3895476504172156,0,3,1,75
0.5,0.021256038647343004,0.13526570048309178,81,59,0.0017871438566627634,0.039071648111651466,-0.5285024154589373,0,3,1,75
0.55,0.010628019323671481,0.12657004830917876,77,54,-0.008375926691076802,0.030049302054360853,-0.6983360171765972,0,3,1,75
0.6000000000000001,0.002898550724637655,0.11884057971014493,75,48,-0.017153377345845582,0.024394333547611852,-0.9106280193236721,0,3,1,75
0.6500000000000001,-0.010351966873706056,0.1111111111111111,71,44,-0.03309355534465574,0.013483135391702854,-1.183574879227054,0,3,1,75
0.7000000000000001,-0.0241545893719807,0.10144927536231885,66,39,-0.05049655586615046,0.0016403336947417987,-1.5475040257648958,0,3,1,75
0.7500000000000001,-0.050241545893719874,0.0966183574879227,62,38,-0.08381926785249558,-0.01989267638465904,-2.057004830917876,0,3,1,75
0.8,-0.06956521739130436,0.08985507246376812,60,33,-0.10738719925763386,-0.03318757546629316,-2.821256038647344,0,3,1,75
0.8500000000000001,-0.10016103059581331,0.08019323671497584,55,28,-0.14918204282546796,-0.05568738039055903,-4.095008051529795,0,3,1,75
0.9000000000000001,-0.15845410628019357,0.07342995169082125,52,24,-0.22678616030208623,-0.08879600534519436,-6.642512077294698,0,3,1,75
0.95,-0.3236714975845407,0.06280193236714976,45,20,-0.45613594171063027,-0.19442885751732245,-14.28502415458936,0,3,1,75
