tau,NB,treat_rate,TP,FP,NB_low90,NB_high90,NB_all,NB_none,day,fold,T
0.05,0.12641749300788202,0.28405797101449276,139,155,0.10807565423713494,0.14350193548700094,0.1955250444952962,0,17,1,75
0.1,0.11111111111111112,0.2463768115942029,129,126,0.09331014844349149,0.1262134572295618,0.15083199141170153,0,17,1,75
0.15000000000000002,0.10059676044330776,0.2222222222222222,123,107,0.08202657978577618,0.11712370638818935,0.10088093208297808,0,17,1,75
0.2,0.08840579710144927,0.21159420289855072,117,102,0.07078226865497535,0.10392832641119437,0.04468599033816423,0,17,1,75
0.25,0.08309178743961354,0.19903381642512077,116,90,0.06552060835609223,0.09847474553904301,-0.019001610305958122,0,17,1,75
0.3,0.07218771566597654,0.1826086956521739,109,80,0.05495951669162812,0.08742783455317957,-0.09178743961352662,0,17,1,75
0.35000000000000003,0.063842437755481235,0.17681159420289855,107,76,0.04719826638469833,0.079566794084496,-0.17577108881456718,0,17,1,75
0.4,0.055716586151368756,0.17004830917874397,105,71,0.03856798364259034,0.07275948641794597,-0.27375201288244777,0,17,1,75
0.45,0.044444444444444446,0.1603864734299517,100,66,0.026601766661315012,0.06274021512108797,-0.3895476504172156,0,17,1,75
0.5,0.02995169082125604,0.15555555555555556,96,65,0.011507729182397997,0.050056090049240776,-0.5285024154589373,0,17,1,75
0.55,0.018357487922705293,0.1536231884057971,96,63,-0.001769250976903637,0.04066522148148681,-0.6983360171765972,0,17,1,75
0.6000000000000001,9.661835748791814e-4,0.14589371980676327,91,60,-0.02141752576725008,0.026080835202232547,-0.9106280193236721,0,17,1,75
0.6500000000000001,-0.013526570048309247,0.14106280193236714,90,56,-0.03978201880646201,0.013023203780363243,-1.183574879227054,0,17,1,75
0.7000000000000001,-0.03220611916264092,0.13526570048309178,88,52,-0.06328801001541864,-0.0016392524311363468,-1.5475040257648958,0,17,1,75
0.7500000000000001,-0.0608695652173914,0.1285024154589372,84,49,-0.0948930109331684,-0.02482300580067031,-2.057004830917876,0,17,1,75
0.8,-0.09468599033816427,0.11304347826086956,74,43,-0.13421473748615326,-0.04940220073658335,-2.821256038647344,0,17,1,75
0.8500000000000001,-0.15136876006441238,0.10628019323671498,70,40,-0.20774818253336474,-0.09487422986118216,-4.095008051529795,0,17,1,75
0.9000000000000001,-0.21062801932367195,0.09855072463768116,70,32,-0.29957336843998494,-0.1308985253148866,-6.642512077294698,0,17,1,75
0.95,-0.5265700483091782,0.09178743961352658,63,32,-0.7055324093781438,-0.3601728032382951,-14.28502415458936,0,17,1,75
