tau,NB,treat_rate,TP,FP,NB_low90,NB_high90,NB_all,NB_none,day,fold,T
0.05,0.11451817950673786,0.2782608695652174,127,161,0.09904693945494251,0.12913690342535875,0.1955250444952962,0,8,1,75
0.1,0.10059044551798176,0.2541062801932367,120,143,0.08524611640471219,0.11475132969581234,0.15083199141170153,0,8,1,75
0.15000000000000002,0.09178743961352656,0.22705314009661837,116,119,0.07615707500450779,0.1057463857730042,0.10088093208297808,0,8,1,75
0.2,0.07995169082125603,0.21642512077294687,111,113,0.06445367949851148,0.09380402818060486,0.04468599033816423,0,8,1,75
0.25,0.07278582930756844,0.20676328502415459,110,104,0.05640734248335211,0.08638355269040192,-0.019001610305958122,0,8,1,75
0.3,0.06363008971704623,0.1961352657004831,107,96,0.04706900367717599,0.07829419105821166,-0.09178743961352662,0,8,1,75
0.35000000000000003,0.056038647342995164,0.19130434782608696,107,91,0.039138595848595116,0.07115369561081539,-0.17577108881456718,0,8,1,75
0.4,0.04283413848631239,0.18454106280193236,103,88,0.025759220129513243,0.05828708090902839,-0.27375201288244777,0,8,1,75
0.45,0.030830039525691702,0.1748792270531401,99,82,0.013307172425867847,0.047739843103765535,-0.3895476504172156,0,8,1,75
0.5,0.017391304347826084,0.1642512077294686,94,76,-0.0016179139155313082,0.03403985099311398,-0.5285024154589373,0,8,1,75
0.55,0.003864734299516892,0.15845410628019324,92,72,-0.017213891795448084,0.02216834303177837,-0.6983360171765972,0,8,1,75
0.6000000000000001,-0.014492753623188442,0.15458937198067632,90,70,-0.037759684633586324,0.005778160657204287,-0.9106280193236721,0,8,1,75
0.6500000000000001,-0.03519668737060047,0.1497584541062802,88,67,-0.062429694126625815,-0.010671711889874456,-1.183574879227054,0,8,1,75
0.7000000000000001,-0.05539452495974237,0.14106280193236714,85,61,-0.08860418008768589,-0.02754625728371327,-1.5475040257648958,0,8,1,75
0.7500000000000001,-0.08792270531400977,0.1323671497584541,80,57,-0.12318173391114212,-0.05660842872213125,-2.057004830917876,0,8,1,75
0.8,-0.12463768115942034,0.12657004830917876,79,52,-0.17271509279345046,-0.08034745830765883,-2.821256038647344,0,8,1,75
0.8500000000000001,-0.18486312399355898,0.1178743961352657,75,47,-0.24891862837150958,-0.12720674506498425,-4.095008051529795,0,8,1,75
0.9000000000000001,-0.34009661835748856,0.11400966183574879,71,47,-0.4431105260603378,-0.24806836158676293,-6.642512077294698,0,8,1,75
0.95,-0.6937198067632844,0.09855072463768116,61,41,-0.8892635351788738,-0.5097498777071308,-14.28502415458936,0,8,1,75
