group,importance_mean_sum,importance_mean_avg
Early traction (cumulata),0.15243665372060025,0.07621832686030013
Strutturali/Goal,0.013841849038220718,0.013841849038220718
Tempo (durata),0.010271662390946894,0.010271662390946894
Emozioni (raw),0.007042731039822361,0.0035213655199111803
Testo (stile/lunghezza),0.006004749572564557,0.0020015831908548522
Emozioni (indici),0.0017732178263469799,0.0017732178263469799
Categoria,0.0012728200924759258,0.0012728200924759258
