MCC_mean,MCC_sd,thr_mean,Recall_mean,Precision_mean,mtry,min_node,class_w_mult
0.7508730017869902,0.034786865060217116,0.552,0.6375482625482626,0.9509322975734682,5,10,1
0.7504555188128027,0.027027058769631372,0.544,0.6283944658944659,0.9590218423551756,2,20,8
0.7503765419443807,0.03103454806737902,0.526,0.6302284427284427,0.956640522875817,2,20,2
0.7503326421186438,0.026939426685208948,0.54,0.6301962676962677,0.9562049409467249,2,20,1
0.7502771938586049,0.03179633312949359,0.534,0.6284427284427284,0.9589872924852217,2,5,3
0.7501327205385353,0.031085753411342152,0.552,0.6230373230373231,0.9651397799741825,2,20,10
0.7497918933960492,0.03158579777842268,0.556,0.628458815958816,0.9571534256041299,4,20,1
0.7495978855515636,0.02920576487251148,0.488,0.6572072072072072,0.9224691358024691,5,20,2
0.7494649602336421,0.02787588347413068,0.53,0.6428249678249678,0.9386727117419016,3,20,2
0.749422147012001,0.027582505742930488,0.532,0.6428088803088803,0.9383790156203949,3,20,3
0.7492317720861832,0.028784733526960066,0.542,0.6373873873873874,0.9444991404907016,4,20,5
0.749165908443679,0.03341717534839452,0.49800000000000005,0.6482786357786358,0.9332378405907817,5,20,1
0.749103248432119,0.027784077003565683,0.522,0.6482303732303732,0.932141812865497,3,20,10
0.7490683125396692,0.033777628226354564,0.55,0.6248230373230373,0.9607602339181286,2,10,3
0.7488829053753523,0.033730421132591094,0.506,0.6589929214929215,0.9189423824314794,5,10,3
0.7488344635630562,0.02639624712972823,0.556,0.632014157014157,0.9505198180636777,3,20,5
0.7488333844720438,0.030370938818017685,0.552,0.6194658944658945,0.9676060118089104,2,20,5
0.7486708502285169,0.03387945754933123,0.552,0.6302445302445303,0.9524332124332124,4,20,10
0.7485393654013552,0.03312871058067306,0.502,0.6356338481338482,0.9471043199396341,2,1,8
0.7483911262082928,0.034396849519765786,0.5700000000000001,0.633976833976834,0.9510328638497653,5,10,8
0.7480514035785137,0.033114388433054975,0.49600000000000005,0.650032175032175,0.9285741327169154,4,10,5
0.7480425176964333,0.03517774656088347,0.55,0.6356016731016731,0.9444252044252044,5,20,10
0.7479079815837033,0.032309061065740885,0.554,0.6337998712998714,0.9464181286549708,3,10,2
0.7478697385363073,0.03357360997484637,0.532,0.6266409266409266,0.956543753055381,2,1,3
0.7478030580697119,0.030329326364014596,0.606,0.6194176319176319,0.9654188034188034,3,1,3
0.7478030580697119,0.030329326364014596,0.594,0.6194176319176319,0.9654188034188034,3,5,3
0.7477985331853748,0.03270415667901261,0.52,0.6482303732303732,0.9293297345928925,3,20,1
0.7477806149210493,0.029692152678939866,0.534,0.6230534105534106,0.9610724477584461,2,1,2
0.7477712112274574,0.030548187938168953,0.562,0.6338481338481339,0.9463975839721206,4,5,5
0.7477432295391847,0.02880799317200107,0.5660000000000001,0.6284105534105534,0.9531665864999198,3,20,8
0.7477413671383903,0.029773666726922082,0.544,0.6212676962676963,0.9634811025859619,2,5,10
0.7477216688849808,0.033937637340717496,0.542,0.6393500643500644,0.9432898612441889,5,20,8
0.7476593844518276,0.03391218774558112,0.558,0.6357464607464608,0.9477635454547152,5,10,2
0.7476539694029868,0.029628182052350634,0.532,0.6248552123552124,0.9582153049013032,2,20,3
0.7476308954648944,0.03359989464777232,0.5740000000000001,0.6176480051480051,0.9673076923076923,2,1,1
0.7476097354202736,0.03315937072217328,0.51,0.6428893178893179,0.9369119769119769,5,20,5
0.747608481824077,0.02960789534334089,0.5760000000000001,0.614060489060489,0.9721594830290482,2,10,5
0.7476015513996229,0.029682599721185966,0.534,0.6320624195624196,0.9486259156065654,3,10,10
0.7475905089393857,0.03248916048692208,0.504,0.6464285714285715,0.9314729793026049,4,10,2
0.7474633885887749,0.03242844650169589,0.56,0.6284427284427284,0.9523066301547314,4,20,3
0.747429330405004,0.029225361714180373,0.5660000000000001,0.6266409266409266,0.9546134641847089,3,5,5
0.7474271288600317,0.030895642460972237,0.52,0.6410875160875161,0.9386556446600924,4,10,8
0.7474085894391288,0.029513627068095658,0.526,0.6410875160875161,0.938132327598384,3,10,1
0.7473926714375164,0.02932360112334306,0.55,0.6391731016731017,0.9389360628463955,4,5,10
0.7473793790207207,0.03265378226714422,0.562,0.6284588159588159,0.9522151898734177,4,20,8
0.7473725639181664,0.03611858468064087,0.5720000000000001,0.628458815958816,0.9520003204357926,4,10,3
0.7470346883068925,0.030930782533444123,0.518,0.6518178893178893,0.9236709303805524,4,20,2
0.7469365155687075,0.028152537898156856,0.5680000000000001,0.6265926640926641,0.9546701574229407,3,1,10
