tau,NB,treat_rate,TP,FP,NB_low90,NB_high90,NB_all,NB_none,day,fold,T
0.05,0.04419018560894991,0.14589371980676327,51,100,0.0342126768260261,0.054958468785132525,0.08263412153572336,0,12,1,100
0.1,0.033601717659688675,0.12270531400966184,44,83,0.02363987921115759,0.04301589605565675,0.03166935050993021,0,12,1,100
0.15000000000000002,0.027678317703893153,0.1072463768115942,41,70,0.017555986215156354,0.03716600964580771,-0.02529127593066216,0,12,1,100
0.2,0.024637681159420288,0.09468599033816426,40,58,0.014704740503713112,0.033342539164679566,-0.08937198067632851,0,12,1,100
0.25,0.02093397745571659,0.08792270531400966,39,52,0.010877240051722569,0.03001780631567825,-0.1619967793880837,0,12,1,100
0.3,0.01725327812284334,0.0821256038647343,38,47,0.006890702757117366,0.026716244877828737,-0.24499654934437548,0,12,1,100
0.35000000000000003,0.013972500929022667,0.07342995169082125,36,40,0.004218607130106792,0.023785380570600527,-0.34076551467855826,0,12,1,100
0.4,0.0048309178743961324,0.06763285024154589,31,39,-0.00552297168593189,0.014840868858196932,-0.45249597423510474,0,12,1,100
0.45,1.7566974088713272e-4,0.05990338164251208,28,34,-0.011226272602400276,0.010531457445534385,-0.5845410628019323,0,12,1,100
0.5,0,0.05410628019323672,28,28,-0.01255064121081025,0.011637241379584657,-0.7429951690821257,0,12,1,100
0.55,-0.004186795491143324,0.04734299516908213,25,24,-0.016823090902289176,0.0090278029465186,-0.93666129898014,0,12,1,100
0.6000000000000001,-0.005314009661835761,0.04057971014492753,23,19,-0.018886178879180773,0.00862756567249585,-1.1787439613526578,0,12,1,100
0.6500000000000001,-0.008419599723947568,0.035748792270531404,21,16,-0.021552158654460963,0.0071037861979083615,-1.489993098688752,0,12,1,100
0.7000000000000001,-0.014492753623188418,0.033816425120772944,20,15,-0.030548753701831837,0.0031786592977910274,-1.9049919484702098,0,12,1,100
0.7500000000000001,-0.022222222222222247,0.028019323671497585,16,13,-0.040535464684754226,-0.004564811040676388,-2.4859903381642527,0,12,1,100
0.8,-0.02705314009661837,0.02608695652173913,16,11,-0.04869333359347919,-0.007274556664068104,-3.357487922705315,0,12,1,100
0.8500000000000001,-0.030273752012882474,0.021256038647342997,14,8,-0.05889347403250705,-0.007988834197319678,-4.809983896940422,0,12,1,100
0.9000000000000001,-0.047342995169082226,0.020289855072463767,14,7,-0.08567758365364446,-0.015438940210035154,-7.71497584541064,0,12,1,100
0.95,-0.09661835748792261,0.01932367149758454,14,6,-0.1735955575601335,-0.038714325375677795,-16.429951690821245,0,12,1,100
