MCC_mean,MCC_sd,thr_mean,Recall_mean,Precision_mean,mtry,min_node,class_w_mult
0.2880440153907065,0.04567101809591626,0.34400000000000003,0.2335907335907336,0.5436433626279582,2,20,10
0.28796509642219625,0.035813990381195496,0.324,0.25505148005148004,0.5022189821200856,2,10,10
0.28518155099244263,0.04564045219575183,0.328,0.25157657657657656,0.5086149199637572,2,20,3
0.2844516053229236,0.04968309245600502,0.338,0.2262870012870013,0.5294765698293075,2,20,8
0.281004606865645,0.05160363247005531,0.324,0.2657014157014157,0.4779686696222941,3,20,10
0.28044539617067576,0.04690374797595924,0.29600000000000004,0.28898005148005146,0.4740020416013531,2,20,1
0.2804161147345862,0.04481416832648276,0.34400000000000003,0.2191763191763192,0.5426520838393128,2,20,2
0.27897411345069306,0.05133338455550784,0.34600000000000003,0.2245817245817246,0.5249965823650035,2,10,5
0.27877889717015264,0.04664072343846243,0.27,0.3285875160875161,0.43170248897849406,2,5,10
0.2786957696136771,0.05102381784451536,0.34,0.24253539253539252,0.5016242091242091,3,20,2
0.2784493632753328,0.04672864495861486,0.33,0.24073359073359074,0.5040480216605772,2,10,8
0.277692351643489,0.043046036887317486,0.304,0.26951415701415704,0.46726153250543495,2,10,2
0.27768722798752693,0.046495577283495466,0.326,0.24605855855855857,0.49737888413640313,2,10,1
0.27755242804919683,0.04701760979925981,0.35200000000000004,0.23722651222651223,0.5199463088357468,3,20,3
0.27669307608549615,0.050818407962606824,0.382,0.212001287001287,0.5546861431792939,4,20,1
0.27636978697755354,0.042217797842638176,0.376,0.21737451737451738,0.5457017766422583,4,20,10
0.2758862961948712,0.04859738625514807,0.334,0.22265122265122267,0.5186401253452108,2,20,5
0.27561207631412027,0.05012626224528268,0.342,0.23891570141570143,0.5018819211148439,3,20,5
0.27464331221955196,0.049640591972872086,0.338,0.24065315315315317,0.4959741906712934,3,20,1
0.2738991327024026,0.0466679709141304,0.29600000000000004,0.28550514800514804,0.4553791249670003,2,1,10
0.27378572421518,0.04694561503057381,0.30200000000000005,0.28013191763191764,0.4639352647352647,2,5,2
0.2736987728833332,0.05409125719354189,0.31,0.2873873873873874,0.4385371611207432,3,1,2
0.27307531988099615,0.048086948783823295,0.336,0.24251930501930502,0.4912135971365943,3,20,8
0.27252209127827426,0.04447961327347604,0.30400000000000005,0.2783944658944659,0.47118245614035087,2,5,5
0.27237873275001423,0.05160173659283646,0.32,0.27125160875160875,0.4578125485715246,3,1,3
0.2722273958231232,0.044868148779611206,0.294,0.28384813384813384,0.4449755434714482,2,1,5
0.27175472615023716,0.04365898963569817,0.308,0.25875160875160874,0.4690256252691753,2,5,1
0.2715970407744541,0.05418533708651512,0.332,0.2602960102960103,0.46367322291235336,4,20,5
0.27159548433999076,0.044781088593126336,0.34600000000000003,0.24433719433719434,0.5012130117393275,3,10,1
0.27060743453101005,0.043936041640735286,0.334,0.25693371943371945,0.4782489936745256,3,1,8
0.27031552476220877,0.044222670392324484,0.334,0.2478925353925354,0.4772528144187725,3,10,3
0.26989500633140906,0.054567930402096836,0.392,0.1976190476190476,0.5621990395760887,5,20,3
0.26986903413003527,0.048309667741824255,0.34800000000000003,0.24256756756756756,0.49642101285566986,3,10,5
0.26956965027328667,0.046137001496355814,0.31,0.27466216216216216,0.45393012799343885,2,1,8
0.2694732874740267,0.0470060950299349,0.332,0.2622104247104247,0.4854665312351556,3,5,2
0.26942550940086457,0.046430801763175246,0.364,0.22641570141570141,0.5176962168266516,4,20,8
0.26940664384125673,0.04973054335997932,0.37,0.212001287001287,0.5318286123855073,4,20,2
0.2694039210538253,0.05783720973914249,0.35200000000000004,0.26016731016731015,0.521947496947497,5,20,10
0.2691998224498433,0.047490713473558335,0.318,0.27633526383526386,0.4636902282507555,3,10,2
0.2690267636379886,0.04981537509966414,0.372,0.22274774774774775,0.5308959555418339,5,20,5
0.26900874411438225,0.04245089620089045,0.34600000000000003,0.24438545688545688,0.4881220488272251,3,5,1
0.2687589946450238,0.0457900176008916,0.332,0.25694980694980696,0.48108931778702296,3,5,10
0.26834084703305777,0.04558747877403781,0.324,0.23711389961389961,0.48128073833956186,2,10,3
0.2683235434002739,0.05163635104350794,0.322,0.26216216216216215,0.45401834805388447,3,10,8
0.26827012727549526,0.050250200100387894,0.332,0.263996138996139,0.47910248199458433,3,1,1
0.26825591217954164,0.04466957368743953,0.322,0.2495817245817246,0.49328531384983,2,5,8
0.2676588064076094,0.047116468163155276,0.326,0.2712194337194337,0.46994407876102295,3,5,8
0.26757742226592,0.04309459867026731,0.312,0.26417310167310165,0.45794040794040797,2,1,1
0.2672119049530416,0.050129008788225154,0.302,0.26764800514800513,0.44789018539833103,2,1,2
0.26677219402086516,0.04470242331274747,0.28,0.3017052767052767,0.4223734140219286,2,5,3
0.266619268784085,0.051381341426751256,0.342,0.24417631917631918,0.47237919568354353,4,20,3
0.26635947714697117,0.04497592209157728,0.326,0.2585746460746461,0.4605510217409056,3,10,10
0.26626079327380914,0.05053461732148741,0.34600000000000003,0.2531692406692407,0.49411133924504835,5,20,8
0.26568495294840394,0.04530018701480662,0.36,0.24054054054054053,0.5158353375020042,5,20,1
0.26561435154962626,0.04423115591238324,0.34,0.2568532818532819,0.4680816104225508,4,1,1
0.26550393303335246,0.05058217697661179,0.34600000000000003,0.2495817245817246,0.5004951238521823,5,20,2
0.26497330981613443,0.04989221896162086,0.30000000000000004,0.2890926640926641,0.4255346189988767,3,5,3
0.2648578138111315,0.04304146139460542,0.382,0.2101833976833977,0.5337209302325582,4,10,8
0.26442486039450364,0.044402907041022135,0.326,0.26954633204633205,0.46292906390693317,3,1,10
0.26431117012025723,0.042925787563071215,0.34,0.2639157014157014,0.451177927048348,4,1,10
0.2642895881841897,0.0503255223227176,0.366,0.22451737451737452,0.5147254901960785,3,5,5
0.2641506730108187,0.04654742649133618,0.324,0.2711711711711712,0.4524789483561254,4,5,2
0.2641217931956456,0.04400503937268523,0.314,0.25498712998713,0.4540802590915125,2,1,3
0.2640129560301428,0.04366648007240236,0.316,0.2693854568854569,0.4407709566953669,3,1,5
0.26328849559632894,0.03859893715426233,0.34600000000000003,0.258510296010296,0.4538607895988584,5,1,3
0.26291539457045676,0.03893927039959683,0.324,0.27464607464607466,0.43601096417571356,4,1,3
0.2626006588494766,0.046273695431549515,0.334,0.26753539253539255,0.4412012835270455,4,1,2
0.2621612415472228,0.05081166542838859,0.324,0.26925675675675675,0.43752115870927755,4,1,5
0.2619443782314448,0.04292268969744284,0.314,0.27305341055341054,0.42965090465090466,4,10,2
0.2613324881980024,0.042501998869281285,0.336,0.26583011583011584,0.4467672751230477,5,1,10
0.26131329233958694,0.04424296548100296,0.362,0.24055662805662806,0.5020367915837023,5,10,5
0.26129817081909856,0.04559934611197013,0.324,0.2711389961389961,0.43938936981411947,4,1,8
0.2611729745246128,0.043422970433289125,0.35600000000000004,0.23347812097812098,0.4829539691608657,4,10,5
0.2607492070889311,0.04540981253626696,0.35800000000000004,0.24420849420849422,0.5021381007074117,4,10,3
0.2604776467755427,0.049884196516812127,0.388,0.22286036036036036,0.4885276701901296,5,5,2
0.2602029283794849,0.04325860013220329,0.326,0.26217824967824965,0.444613114356484,4,5,10
0.2599890320617303,0.04738935787492541,0.35600000000000004,0.23712998712998712,0.48636587153516725,4,10,10
0.2595210589700051,0.042793493755495585,0.332,0.2622265122265122,0.4487901921967627,5,5,1
0.25947533233303666,0.04948394123304298,0.37,0.2337033462033462,0.47940099515651297,4,5,3
0.25939646103692954,0.049690322427679096,0.34600000000000003,0.24950128700128701,0.45510372169674773,5,10,3
0.25898882911029203,0.04801498894832843,0.362,0.22638352638352638,0.491707474865693,4,10,1
