tau,NB,treat_rate,TP,FP,NB_low90,NB_high90,NB_all,NB_none,day,fold,T
0.05,0.043376557335367404,0.14202898550724638,50,97,0.03270978450253008,0.0551427011564708,0.08263412153572336,0,13,1,100
0.1,0.033816425120772944,0.12077294685990338,44,81,0.02400161928706861,0.04526298829942696,0.03166935050993021,0,13,1,100
0.15000000000000002,0.028985507246376805,0.10628019323671498,42,68,0.018847040543802866,0.03976814211690826,-0.02529127593066216,0,13,1,100
0.2,0.024396135265700482,0.10048309178743961,41,63,0.014343762045051098,0.0357017998527011,-0.08937198067632851,0,13,1,100
0.25,0.022222222222222227,0.09178743961352658,41,54,0.01154830661665773,0.034124848166700396,-0.1619967793880837,0,13,1,100
0.3,0.017391304347826087,0.08502415458937199,39,49,0.007497132557425846,0.028127740093490654,-0.24499654934437548,0,13,1,100
0.35000000000000003,0.012709030100334445,0.08405797101449275,39,48,0.001693951078253351,0.024820453119514443,-0.34076551467855826,0,13,1,100
0.4,0.008695652173913042,0.08115942028985507,39,45,-0.0025429411978017146,0.02171208902887103,-0.45249597423510474,0,13,1,100
0.45,0.005884936319718929,0.07439613526570048,38,39,-0.006813855185325641,0.018507364440095778,-0.5845410628019323,0,13,1,100
0.5,0.00193236714975846,0.06956521739130435,37,35,-0.011682624533104704,0.014150905456926419,-0.7429951690821257,0,13,1,100
0.55,-0.005582393988191096,0.06956521739130435,37,35,-0.022162940169168626,0.008755465542056917,-0.93666129898014,0,13,1,100
0.6000000000000001,-0.010144927536231904,0.05990338164251208,33,29,-0.02805568874494253,0.006026259055963669,-1.1787439613526578,0,13,1,100
0.6500000000000001,-0.01849551414768809,0.05603864734299517,31,27,-0.03858512897921959,4.149709282846369e-4,-1.489993098688752,0,13,1,100
0.7000000000000001,-0.029307568438003233,0.051207729468599035,28,25,-0.05086107085149359,-0.008384646081203002,-1.9049919484702098,0,13,1,100
0.7500000000000001,-0.040579710144927575,0.04830917874396135,27,23,-0.065752029414473,-0.015733549428267293,-2.4859903381642527,0,13,1,100
0.8,-0.05217391304347827,0.044444444444444446,26,20,-0.08061152706483887,-0.024517453958224793,-3.357487922705315,0,13,1,100
0.8500000000000001,-0.07729468599033823,0.03864734299516908,22,18,-0.11951128051909043,-0.044617598642766425,-4.809983896940422,0,13,1,100
0.9000000000000001,-0.1101449275362321,0.034782608695652174,21,15,-0.16716467347872319,-0.06195571442074972,-7.71497584541064,0,13,1,100
0.95,-0.20483091787439595,0.02705314009661836,16,12,-0.3098446232754645,-0.11136780108397908,-16.429951690821245,0,13,1,100
