day,feature
7,category_mapEnvironment
7,category_mapEvents
7,category_mapFaith
7,category_mapFamily
7,category_mapFunerals & Memorials
7,category_mapMedical
7,category_mapNon-Profits & Charities
7,category_mapOther
7,"category_mapRent, Food & Monthly Bills"
7,category_mapSports
7,category_mapTravel
7,category_mapVolunteer
7,category_mapWishes
7,goal_category>50K
7,goal_category20K-50K
7,goal_category5K-20K
7,duration_category>90gg
7,duration_category30-60gg
7,duration_category60-90gg
7,pct_goal_cum_d5
7,pct_goal_cum_d6
7,pct_goal_cum_d7
7,donors_cum_d5
7,donors_cum_d6
7,donors_cum_d7
7,pct_goal_speed
7,donors_speed
8,goal_amount
8,campaign_duration
8,text_length
8,n_caratteri
8,n_parole
8,n_frasi
8,parole_per_frase
8,caratteri_per_parola
8,positive_emotions
8,negative_emotions
8,emotional_balance
8,intensita_emotiva_totale
8,densita_emotiva
8,disaster
8,category_mapBusiness
8,category_mapCommunity
8,category_mapCompetitions
8,category_mapCreative
8,category_mapEducation
8,category_mapEmergencies
8,category_mapEnvironment
8,category_mapEvents
8,category_mapFaith
8,category_mapFamily
8,category_mapFunerals & Memorials
8,category_mapMedical
8,category_mapNon-Profits & Charities
8,category_mapOther
8,"category_mapRent, Food & Monthly Bills"
8,category_mapSports
8,category_mapTravel
8,category_mapVolunteer
8,category_mapWishes
8,goal_category>50K
8,goal_category20K-50K
8,goal_category5K-20K
8,duration_category>90gg
8,duration_category30-60gg
8,duration_category60-90gg
8,pct_goal_cum_d6
8,pct_goal_cum_d7
8,pct_goal_cum_d8
8,donors_cum_d6
8,donors_cum_d7
8,donors_cum_d8
8,pct_goal_speed
8,donors_speed
9,goal_amount
9,campaign_duration
9,text_length
9,n_caratteri
9,n_parole
9,n_frasi
9,parole_per_frase
9,caratteri_per_parola
9,positive_emotions
9,negative_emotions
9,emotional_balance
9,intensita_emotiva_totale
9,densita_emotiva
9,disaster
9,category_mapBusiness
9,category_mapCommunity
9,category_mapCompetitions
9,category_mapCreative
9,category_mapEducation
9,category_mapEmergencies
9,category_mapEnvironment
9,category_mapEvents
9,category_mapFaith
9,category_mapFamily
9,category_mapFunerals & Memorials
9,category_mapMedical
9,category_mapNon-Profits & Charities
9,category_mapOther
9,"category_mapRent, Food & Monthly Bills"
9,category_mapSports
9,category_mapTravel
9,category_mapVolunteer
9,category_mapWishes
9,goal_category>50K
9,goal_category20K-50K
9,goal_category5K-20K
9,duration_category>90gg
9,duration_category30-60gg
9,duration_category60-90gg
9,pct_goal_cum_d7
9,pct_goal_cum_d8
9,pct_goal_cum_d9
9,donors_cum_d7
9,donors_cum_d8
9,donors_cum_d9
9,pct_goal_speed
9,donors_speed
10,goal_amount
10,campaign_duration
10,text_length
10,n_caratteri
10,n_parole
10,n_frasi
10,parole_per_frase
10,caratteri_per_parola
10,positive_emotions
10,negative_emotions
10,emotional_balance
10,intensita_emotiva_totale
10,densita_emotiva
10,disaster
10,category_mapBusiness
10,category_mapCommunity
10,category_mapCompetitions
10,category_mapCreative
10,category_mapEducation
10,category_mapEmergencies
10,category_mapEnvironment
10,category_mapEvents
10,category_mapFaith
10,category_mapFamily
10,category_mapFunerals & Memorials
10,category_mapMedical
10,category_mapNon-Profits & Charities
10,category_mapOther
10,"category_mapRent, Food & Monthly Bills"
10,category_mapSports
10,category_mapTravel
10,category_mapVolunteer
10,category_mapWishes
10,goal_category>50K
10,goal_category20K-50K
10,goal_category5K-20K
10,duration_category>90gg
10,duration_category30-60gg
10,duration_category60-90gg
10,pct_goal_cum_d8
10,pct_goal_cum_d9
10,pct_goal_cum_d10
10,donors_cum_d8
10,donors_cum_d9
10,donors_cum_d10
10,pct_goal_speed
10,donors_speed
11,goal_amount
11,campaign_duration
11,text_length
11,n_caratteri
11,n_parole
11,n_frasi
11,parole_per_frase
11,caratteri_per_parola
11,positive_emotions
11,negative_emotions
11,emotional_balance
11,intensita_emotiva_totale
11,densita_emotiva
11,disaster
11,category_mapBusiness
11,category_mapCommunity
11,category_mapCompetitions
11,category_mapCreative
11,category_mapEducation
11,category_mapEmergencies
11,category_mapEnvironment
11,category_mapEvents
11,category_mapFaith
11,category_mapFamily
11,category_mapFunerals & Memorials
11,category_mapMedical
11,category_mapNon-Profits & Charities
11,category_mapOther
11,"category_mapRent, Food & Monthly Bills"
11,category_mapSports
11,category_mapTravel
11,category_mapVolunteer
11,category_mapWishes
11,goal_category>50K
11,goal_category20K-50K
11,goal_category5K-20K
11,duration_category>90gg
11,duration_category30-60gg
11,duration_category60-90gg
11,pct_goal_cum_d9
11,pct_goal_cum_d10
11,pct_goal_cum_d11
11,donors_cum_d9
11,donors_cum_d10
11,donors_cum_d11
11,pct_goal_speed
11,donors_speed
12,goal_amount
12,campaign_duration
12,text_length
12,n_caratteri
12,n_parole
12,n_frasi
12,parole_per_frase
12,caratteri_per_parola
12,positive_emotions
12,negative_emotions
12,emotional_balance
12,intensita_emotiva_totale
12,densita_emotiva
12,disaster
12,category_mapBusiness
12,category_mapCommunity
12,category_mapCompetitions
12,category_mapCreative
12,category_mapEducation
12,category_mapEmergencies
12,category_mapEnvironment
12,category_mapEvents
12,category_mapFaith
12,category_mapFamily
12,category_mapFunerals & Memorials
12,category_mapMedical
12,category_mapNon-Profits & Charities
12,category_mapOther
12,"category_mapRent, Food & Monthly Bills"
12,category_mapSports
12,category_mapTravel
12,category_mapVolunteer
12,category_mapWishes
12,goal_category>50K
12,goal_category20K-50K
12,goal_category5K-20K
12,duration_category>90gg
12,duration_category30-60gg
12,duration_category60-90gg
12,pct_goal_cum_d10
12,pct_goal_cum_d11
12,pct_goal_cum_d12
12,donors_cum_d10
12,donors_cum_d11
12,donors_cum_d12
12,pct_goal_speed
12,donors_speed
13,goal_amount
13,campaign_duration
13,text_length
13,n_caratteri
13,n_parole
13,n_frasi
13,parole_per_frase
13,caratteri_per_parola
13,positive_emotions
13,negative_emotions
13,emotional_balance
13,intensita_emotiva_totale
13,densita_emotiva
13,disaster
13,category_mapBusiness
13,category_mapCommunity
13,category_mapCompetitions
13,category_mapCreative
13,category_mapEducation
13,category_mapEmergencies
13,category_mapEnvironment
13,category_mapEvents
13,category_mapFaith
13,category_mapFamily
13,category_mapFunerals & Memorials
13,category_mapMedical
13,category_mapNon-Profits & Charities
13,category_mapOther
13,"category_mapRent, Food & Monthly Bills"
13,category_mapSports
13,category_mapTravel
13,category_mapVolunteer
13,category_mapWishes
13,goal_category>50K
13,goal_category20K-50K
13,goal_category5K-20K
13,duration_category>90gg
13,duration_category30-60gg
13,duration_category60-90gg
13,pct_goal_cum_d11
13,pct_goal_cum_d12
13,pct_goal_cum_d13
13,donors_cum_d11
13,donors_cum_d12
13,donors_cum_d13
13,pct_goal_speed
13,donors_speed
14,goal_amount
14,campaign_duration
14,text_length
14,n_caratteri
14,n_parole
14,n_frasi
14,parole_per_frase
14,caratteri_per_parola
14,positive_emotions
14,negative_emotions
14,emotional_balance
14,intensita_emotiva_totale
14,densita_emotiva
14,disaster
14,category_mapBusiness
14,category_mapCommunity
14,category_mapCompetitions
14,category_mapCreative
14,category_mapEducation
14,category_mapEmergencies
14,category_mapEnvironment
14,category_mapEvents
14,category_mapFaith
14,category_mapFamily
14,category_mapFunerals & Memorials
14,category_mapMedical
14,category_mapNon-Profits & Charities
14,category_mapOther
14,"category_mapRent, Food & Monthly Bills"
14,category_mapSports
14,category_mapTravel
14,category_mapVolunteer
14,category_mapWishes
14,goal_category>50K
14,goal_category20K-50K
14,goal_category5K-20K
14,duration_category>90gg
14,duration_category30-60gg
14,duration_category60-90gg
14,pct_goal_cum_d12
14,pct_goal_cum_d13
14,pct_goal_cum_d14
14,donors_cum_d12
14,donors_cum_d13
14,donors_cum_d14
14,pct_goal_speed
14,donors_speed
15,goal_amount
15,campaign_duration
15,text_length
15,n_caratteri
15,n_parole
15,n_frasi
15,parole_per_frase
15,caratteri_per_parola
15,positive_emotions
15,negative_emotions
15,emotional_balance
15,intensita_emotiva_totale
15,densita_emotiva
15,disaster
15,category_mapBusiness
15,category_mapCommunity
15,category_mapCompetitions
15,category_mapCreative
15,category_mapEducation
15,category_mapEmergencies
