group,importance_mean_sum,importance_mean_avg
Strutturali/Goal,0.022191615583180967,0.022191615583180967
Testo (stile/lunghezza),0.018149143886453063,0.0060497146288176875
Emozioni (raw),0.016736256038579506,0.008368128019289753
Emozioni (indici),0.009000014910363159,0.009000014910363159
Tempo (durata),0.006698268441328988,0.006698268441328988
Categoria,0.0014839806381720174,0.0014839806381720174
