tau,NB,treat_rate,TP,FP,NB_low90,NB_high90,NB_all,NB_none,day,fold,T
0.05,0.11309433002796847,0.24734299516908212,124,132,0.09721669597855506,0.12994307123106483,0.1955250444952962,0,9,1,75
0.1,0.09973161567364466,0.22318840579710145,116,115,0.08453508499537722,0.11802287294963174,0.15083199141170153,0,9,1,75
0.15000000000000002,0.09224211423699914,0.21159420289855072,114,105,0.0768352768523617,0.11091792408834136,0.10088093208297808,0,9,1,75
0.2,0.0823671497584541,0.19710144927536233,109,95,0.06727303995194167,0.10119946855000411,0.04468599033816423,0,9,1,75
0.25,0.07278582930756844,0.17971014492753623,103,83,0.05864756258165021,0.08969434129033012,-0.019001610305958122,0,9,1,75
0.3,0.06583850931677018,0.16521739130434782,99,72,0.05041364540123992,0.08251840466343228,-0.09178743961352662,0,9,1,75
0.35000000000000003,0.06034931252322557,0.15845410628019324,98,66,0.044611244197920834,0.07755894488457983,-0.17577108881456718,0,9,1,75
0.4,0.05152979066022544,0.14492753623188406,92,58,0.03619497048076394,0.06845744184330786,-0.27375201288244777,0,9,1,75
0.45,0.04014053579270971,0.14202898550724638,89,58,0.02312918336928204,0.05804870602802813,-0.3895476504172156,0,9,1,75
0.5,0.02898550724637681,0.1391304347826087,87,57,0.010173874095460158,0.04801315184186678,-0.5285024154589373,0,9,1,75
0.55,0.01857219538378957,0.1323671497584541,84,53,-0.0010734858519088229,0.038921962879745906,-0.6983360171765972,0,9,1,75
0.6000000000000001,0.007729468599033784,0.1285024154589372,83,50,-0.014073425746637041,0.03001982961829865,-0.9106280193236721,0,9,1,75
0.6500000000000001,-0.011456176673568033,0.12657004830917876,81,50,-0.03820653500493869,0.013683531443771027,-1.183574879227054,0,9,1,75
0.7000000000000001,-0.03510466988727862,0.12270531400966184,78,49,-0.064738498122542,-0.007266584943803724,-1.5475040257648958,0,9,1,75
0.7500000000000001,-0.06086956521739138,0.12077294685990338,78,47,-0.09736067447094371,-0.028339527668225367,-2.057004830917876,0,9,1,75
0.8,-0.10821256038647346,0.11400966183574879,72,46,-0.15413377334012837,-0.06850804374402063,-2.821256038647344,0,9,1,75
0.8500000000000001,-0.15233494363929162,0.10531400966183575,69,40,-0.2073969367067825,-0.10366396481570068,-4.095008051529795,0,9,1,75
0.9000000000000001,-0.2444444444444449,0.09371980676328502,62,35,-0.3257557251314501,-0.16895414422455757,-6.642512077294698,0,9,1,75
0.95,-0.49565217391304295,0.08405797101449275,57,30,-0.6559464560354149,-0.36027007639876946,-14.28502415458936,0,9,1,75
