tau,NB,treat_rate,TP,FP,NB_low90,NB_high90,NB_all,NB_none,day,fold,T
0.05,0.043986778540554286,0.13043478260869565,50,85,0.033279589620205885,0.05616838105141321,0.08263412153572336,0,14,1,100
0.1,0.03617820719269994,0.10917874396135266,45,68,0.026252510774089535,0.04734929446643505,0.03166935050993021,0,14,1,100
0.15000000000000002,0.030520034100596755,0.09758454106280193,42,59,0.021164504897519795,0.04131268393855484,-0.02529127593066216,0,14,1,100
0.2,0.02608695652173913,0.08888888888888889,40,52,0.017179051949405628,0.03709334977424329,-0.08937198067632851,0,14,1,100
0.25,0.024476650563607084,0.08115942028985507,40,44,0.014800757503061574,0.03505496241438041,-0.1619967793880837,0,14,1,100
0.3,0.020565907522429257,0.07439613526570048,38,39,0.010897826724624292,0.032385351615668384,-0.24499654934437548,0,14,1,100
0.35000000000000003,0.020141211445559273,0.0647342995169082,37,30,0.010429454700149303,0.03141702575234741,-0.34076551467855826,0,14,1,100
0.4,0.01610305958132045,0.06280193236714976,36,29,0.0058268836391853155,0.028236044049646143,-0.45249597423510474,0,14,1,100
0.45,0.011506368028107162,0.05893719806763285,34,27,2.239273579420624e-5,0.02369216850814514,-0.5845410628019323,0,14,1,100
0.5,0.004830917874396136,0.05507246376811594,31,26,-0.007468342213785224,0.017068814465985516,-0.7429951690821257,0,14,1,100
0.55,-3.220611916264146e-4,0.051207729468599035,29,24,-0.014341417685373885,0.012020024020041488,-0.93666129898014,0,14,1,100
0.6000000000000001,-0.005797101449275383,0.04734299516908213,27,22,-0.022090982486610802,0.00870659076667628,-1.1787439613526578,0,14,1,100
0.6500000000000001,-0.011594202898550749,0.0463768115942029,27,21,-0.029584975831766575,0.004472797777937376,-1.489993098688752,0,14,1,100
0.7000000000000001,-0.02318840579710146,0.044444444444444446,25,21,-0.04512713954958089,-0.005057736354405307,-1.9049919484702098,0,14,1,100
0.7500000000000001,-0.028985507246376843,0.04057971014492753,24,18,-0.05455977609849983,-0.008130336567125727,-2.4859903381642527,0,14,1,100
0.8,-0.033816425120772965,0.033816425120772944,21,14,-0.06555362786507753,-0.010086177545999584,-3.357487922705315,0,14,1,100
0.8500000000000001,-0.04734299516908217,0.02995169082125604,19,12,-0.08449594694817603,-0.019570427290621785,-4.809983896940422,0,14,1,100
0.9000000000000001,-0.06086956521739144,0.02608695652173913,18,9,-0.10733907796890635,-0.025025410293637262,-7.71497584541064,0,14,1,100
0.95,-0.13429951690821243,0.020289855072463767,13,8,-0.22438499413382013,-0.05752521591285236,-16.429951690821245,0,14,1,100
