tau,NB,treat_rate,TP,FP,NB_low90,NB_high90,NB_all,NB_none,day,fold,T
0.05,0.044393592677345536,0.14202898550724638,51,96,0.0332042493779145,0.05526328643395468,0.08263412153572336,0,11,1,100
0.1,0.03832528180354267,0.11884057971014493,48,75,0.02805918176834587,0.04929565288839916,0.03166935050993021,0,11,1,100
0.15000000000000002,0.034271099744245526,0.11497584541062802,48,71,0.0236029816325761,0.04532601998092596,-0.02529127593066216,0,11,1,100
0.2,0.03067632850241546,0.10917874396135266,48,65,0.019552497171959726,0.04131629097258983,-0.08937198067632851,0,11,1,100
0.25,0.024476650563607087,0.10434782608695652,46,62,0.012251671123029002,0.036102896578967876,-0.1619967793880837,0,11,1,100
0.3,0.017943409247757072,0.0966183574879227,43,57,0.005177008730780025,0.029372064458816724,-0.24499654934437548,0,11,1,100
0.35000000000000003,0.01107395020438498,0.08985507246376812,40,53,-0.0013768748510513099,0.023027524666880426,-0.34076551467855826,0,11,1,100
0.4,0.006441223832528178,0.0821256038647343,38,47,-0.006787316697836324,0.018945840047208305,-0.45249597423510474,0,11,1,100
0.45,0.003162055335968382,0.07342995169082125,36,40,-0.011552948552448757,0.015662237772408036,-0.5845410628019323,0,11,1,100
0.5,-0.003864734299516906,0.06956521739130435,34,38,-0.019732522352187185,0.010369352933181369,-0.7429951690821257,0,11,1,100
0.55,-0.004938271604938281,0.06376811594202898,34,32,-0.020350389879923922,0.01133926795669053,-0.93666129898014,0,11,1,100
0.6000000000000001,-0.00483091787439615,0.057971014492753624,34,26,-0.022131569366239834,0.010370392465378565,-1.1787439613526578,0,11,1,100
0.6500000000000001,-0.010213940648723281,0.05603864734299517,34,24,-0.029355560945000362,0.007125348069427891,-1.489993098688752,0,11,1,100
0.7000000000000001,-0.019645732689210965,0.051207729468599035,31,22,-0.041797091740668146,-1.0590019654952321e-4,-1.9049919484702098,0,11,1,100
0.7500000000000001,-0.03574879227053143,0.04541062801932367,26,21,-0.06217070046452184,-0.013456768102557828,-2.4859903381642527,0,11,1,100
0.8,-0.05120772946859904,0.04057971014492753,23,19,-0.08627996330064308,-0.02306366623342708,-3.357487922705315,0,11,1,100
0.8500000000000001,-0.07826086956521747,0.03768115942028986,21,18,-0.12273281750117966,-0.03948589608326212,-4.809983896940422,0,11,1,100
0.9000000000000001,-0.11207729468599056,0.03285024154589372,19,15,-0.18368526490871787,-0.06082835292333609,-7.71497584541064,0,11,1,100
0.95,-0.2260869565217389,0.025120772946859903,13,13,-0.3528157005056366,-0.12139202244527068,-16.429951690821245,0,11,1,100
