tau,NB,treat_rate,TP,FP,NB_low90,NB_high90,NB_all,NB_none,day,fold,T
0.05,0.040681413679125346,0.13526570048309178,47,93,0.029612988071695125,0.052208713183730535,0.08263412153572336,0,19,1,100
0.1,0.035963499731615674,0.12077294685990338,46,79,0.025258959860767143,0.048309234710712905,0.03166935050993021,0,19,1,100
0.15000000000000002,0.0312588803637397,0.10628019323671498,44,66,0.021119997776411832,0.04403278209738615,-0.02529127593066216,0,19,1,100
0.2,0.02657004830917874,0.0966183574879227,42,58,0.01659967452226864,0.03911060628586397,-0.08937198067632851,0,19,1,100
0.25,0.02093397745571659,0.08792270531400966,39,52,0.011088856656775276,0.03387802939520196,-0.1619967793880837,0,19,1,100
0.3,0.014768806073153895,0.0782608695652174,35,46,0.004784743865496385,0.02756784950576434,-0.24499654934437548,0,19,1,100
0.35000000000000003,0.013080639167595689,0.06956521739130435,34,38,0.0024635080405978837,0.026449738389650417,-0.34076551467855826,0,19,1,100
0.4,0.008373590982286634,0.0647342995169082,32,35,-0.002115589611322568,0.02212642993079313,-0.45249597423510474,0,19,1,100
0.45,0.0017566974088713272,0.057971014492753624,28,32,-0.010294674984455408,0.015298697823540654,-0.5845410628019323,0,19,1,100
0.5,-9.661835748792265e-4,0.051207729468599035,26,27,-0.01330719232144719,0.011677886163280204,-0.7429951690821257,0,19,1,100
0.55,-0.003972088030059051,0.04541062801932367,24,23,-0.016384106641362386,0.010057950207022584,-0.93666129898014,0,19,1,100
0.6000000000000001,-0.01304347826086958,0.04251207729468599,21,23,-0.026752254225524325,0.0018719466954503958,-1.1787439613526578,0,19,1,100
0.6500000000000001,-0.021946169772256757,0.04154589371980676,20,23,-0.03768608575654365,-0.004391769357282539,-1.489993098688752,0,19,1,100
0.7000000000000001,-0.03252818035426733,0.04154589371980676,20,23,-0.05217861664071346,-0.012199846889129357,-1.9049919484702098,0,19,1,100
0.7500000000000001,-0.043478260869565244,0.03768115942028986,18,21,-0.0670940630483315,-0.020234126931342987,-2.4859903381642527,0,19,1,100
0.8,-0.05797101449275364,0.033816425120772944,16,19,-0.08628885431231496,-0.030216918714661218,-3.357487922705315,0,19,1,100
0.8500000000000001,-0.07858293075684387,0.030917874396135265,15,17,-0.11563341044603842,-0.04260396354715533,-4.809983896940422,0,19,1,100
0.9000000000000001,-0.10724637681159441,0.028019323671497585,15,14,-0.1652621455584212,-0.05709439632161381,-7.71497584541064,0,19,1,100
0.95,-0.19033816425120756,0.022222222222222223,12,11,-0.30298208811733585,-0.10036644097011306,-16.429951690821245,0,19,1,100
