day,T,NB_star_mean,NB_robust_mean,NB_low90_rob_mean,max_NB_point_mean,max_NB_low90_mean,prevalence_mean
1,75,0.08726464202084415,0.08726464202084415,0.07312858080188983,0.08726464202084415,0.07312858080188983,0.24458943543293132
2,75,0.1083384827847962,0.1083384827847962,0.09209950680974584,0.1083384827847962,0.09209950680974584,0.24458943543293132
3,75,0.11551054309056984,0.11551054309056984,0.09985106016825165,0.11551054309056984,0.09985106016825165,0.24458943543293132
4,75,0.12287642998527679,0.12287642998527679,0.10692986095596907,0.12287642998527679,0.10692986095596907,0.24458943543293132
5,75,0.12241205295400454,0.12241205295400454,0.10562587704652353,0.12241205295400454,0.10562587704652353,0.24458943543293132
6,75,0.1239075164751089,0.1239075164751089,0.10773351540783703,0.1239075164751089,0.10773351540783703,0.24458943543293132
7,75,0.12764986205497808,0.12764986205497808,0.11105705926766866,0.12764986205497808,0.11105705926766866,0.24458943543293132
8,75,0.13054829706839674,0.13054829706839674,0.11438731840786283,0.13054829706839674,0.11438731840786283,0.24458943543293132
9,75,0.1317969382968357,0.1317969382968357,0.11508135661658862,0.1317969382968357,0.11508135661658862,0.24458943543293132
10,75,0.1320453885843943,0.1320453885843943,0.114373981040087,0.1320453885843943,0.114373981040087,0.24458943543293132
11,75,0.12908352368168574,0.12908352368168574,0.1116002589327277,0.12908352368168574,0.1116002589327277,0.24458943543293132
12,75,0.1320772601151557,0.1320772601151557,0.11485649554593184,0.1320772601151557,0.11485649554593184,0.24458943543293132
13,75,0.1355885173064228,0.1355885173064228,0.11844323500933548,0.1355885173064228,0.11844323500933548,0.24458943543293132
14,75,0.13367130596310717,0.13367130596310717,0.1165763931197682,0.13367130596310717,0.1165763931197682,0.24458943543293132
15,75,0.13039903705030212,0.13039903705030212,0.11357856006954825,0.13039903705030212,0.11357856006954825,0.24458943543293132
16,75,0.130943776620984,0.130943776620984,0.11320664184605704,0.130943776620984,0.11320664184605704,0.24458943543293132
17,75,0.13694420654873354,0.13694420654873354,0.11778132095899045,0.13694420654873354,0.11778132095899045,0.24458943543293132
18,75,0.1346624988619099,0.1346624988619099,0.11704819038277806,0.1346624988619099,0.11704819038277806,0.24458943543293132
19,75,0.1323395375156847,0.1323395375156847,0.11499870361267849,0.1323395375156847,0.11499870361267849,0.24458943543293132
20,75,0.13329496558264503,0.13329496558264503,0.11627351962943314,0.13329496558264503,0.11627351962943314,0.24458943543293132
1,100,0.024709522355504016,0.024709522355504016,0.017139369692492967,0.024709522355504016,0.017139369692492967,0.1386570458903668
2,100,0.03892462893071449,0.03892462893071449,0.02851669892973967,0.03892462893071449,0.02851669892973967,0.1386570458903668
3,100,0.04217712238387466,0.04217712238387466,0.03199655311905468,0.04217712238387466,0.03199655311905468,0.1386570458903668
4,100,0.047388485531175355,0.047388485531175355,0.03662689016703738,0.047388485531175355,0.03662689016703738,0.1386570458903668
5,100,0.04743578434942241,0.04743578434942241,0.037029701255438696,0.04743578434942241,0.037029701255438696,0.1386570458903668
6,100,0.048615222498166494,0.048615222498166494,0.037876121172816087,0.048615222498166494,0.037876121172816087,0.1386570458903668
7,100,0.049832197755931784,0.049832197755931784,0.039083332035577956,0.049832197755931784,0.039083332035577956,0.1386570458903668
8,100,0.04676126934886449,0.04676126934886449,0.03547588250356955,0.04676126934886449,0.03547588250356955,0.1386570458903668
9,100,0.04936372408573788,0.04936372408573788,0.03884487015956716,0.04936372408573788,0.03884487015956716,0.1386570458903668
10,100,0.05083370205381016,0.05083370205381016,0.039570144813508894,0.05083370205381016,0.039570144813508894,0.1386570458903668
11,100,0.0485040787731474,0.0485040787731474,0.0377030923850955,0.0485040787731474,0.0377030923850955,0.1386570458903668
12,100,0.048290559678356514,0.048290559678356514,0.03757850842060689,0.048290559678356514,0.03757850842060689,0.1386570458903668
13,100,0.051056338915386607,0.051056338915386607,0.03957768414465228,0.051056338915386607,0.03957768414465228,0.1386570458903668
14,100,0.0507875939862965,0.0507875939862965,0.038974596680300934,0.0507875939862965,0.038974596680300934,0.1386570458903668
15,100,0.04789691322158601,0.04789691322158601,0.037274194430824435,0.04789691322158601,0.037274194430824435,0.1386570458903668
16,100,0.04675121326428516,0.04675121326428516,0.03632261713647429,0.04675121326428516,0.03632261713647429,0.1386570458903668
17,100,0.05226054352913537,0.05226054352913537,0.04088296070314469,0.05226054352913537,0.04088296070314469,0.1386570458903668
18,100,0.05350750401643586,0.05350750401643586,0.04154534111741342,0.05350750401643586,0.04154534111741342,0.1386570458903668
19,100,0.05065534244823654,0.05065534244823654,0.03923469562921063,0.05065534244823654,0.03923469562921063,0.1386570458903668
20,100,0.051857564980241584,0.051857564980241584,0.04064746191756516,0.051857564980241584,0.04064746191756516,0.1386570458903668
