tau,NB,treat_rate,TP,FP,NB_low90,NB_high90,NB_all,NB_none,day,fold,T
0.05,0.11848461734045258,0.2608695652173913,130,140,0.10252167100785421,0.13609534252995384,0.1955250444952962,0,19,1,75
0.1,0.10789049919484701,0.23671497584541062,125,120,0.09189824349119428,0.12622517636826522,0.15083199141170153,0,19,1,75
0.15000000000000002,0.09690252912759306,0.21739130434782608,119,106,0.08147883566803113,0.11500246791124188,0.10088093208297808,0,19,1,75
0.2,0.0891304347826087,0.20869565217391303,117,99,0.07259063643942715,0.10823201289145191,0.04468599033816423,0,19,1,75
0.25,0.07761674718196457,0.1961352657004831,111,92,0.06139923661828111,0.0959977093906301,-0.019001610305958122,0,19,1,75
0.3,0.06639061421670117,0.18647342995169083,106,87,0.05023500867411539,0.08511898965180296,-0.09178743961352662,0,19,1,75
0.35000000000000003,0.05774804905239688,0.1826086956521739,105,84,0.04106414614949198,0.07657336390165007,-0.17577108881456718,0,19,1,75
0.4,0.0466988727858293,0.178743961352657,103,82,0.02972027393873025,0.06609801969651018,-0.27375201288244777,0,19,1,75
0.45,0.038296003513394815,0.17004830917874397,101,75,0.019717563842477796,0.058451812106672905,-0.3895476504172156,0,19,1,75
0.5,0.022222222222222213,0.15942028985507245,94,71,6.773238869967517e-4,0.04265680573369412,-0.5285024154589373,0,19,1,75
0.55,0.011379495437466428,0.14879227053140096,90,64,-0.011639233106754628,0.033626452563474865,-0.6983360171765972,0,19,1,75
0.6000000000000001,-0.0019323671497584877,0.13816425120772946,85,58,-0.02614376214549134,0.02326688621469841,-0.9106280193236721,0,19,1,75
0.6500000000000001,-0.01670117322291241,0.1323671497584541,83,54,-0.04391442729971969,0.010469431294103474,-1.183574879227054,0,19,1,75
0.7000000000000001,-0.039935587761674746,0.12753623188405797,80,52,-0.07104122846102358,-0.009358978749362314,-1.5475040257648958,0,19,1,75
0.7500000000000001,-0.0753623188405798,0.12173913043478261,75,51,-0.11220027818397939,-0.03924348679926132,-2.057004830917876,0,19,1,75
0.8,-0.1265700483091788,0.11980676328502415,73,51,-0.17404356787696282,-0.08191891159307839,-2.821256038647344,0,19,1,75
0.8500000000000001,-0.19516908212560405,0.11400966183574879,70,48,-0.2637788756600046,-0.13543707518652195,-4.095008051529795,0,19,1,75
0.9000000000000001,-0.31884057971014557,0.10628019323671498,66,44,-0.42430218110806917,-0.22654490182828244,-6.642512077294698,0,19,1,75
0.95,-0.6541062801932361,0.09951690821256039,64,39,-0.8549591848868725,-0.4724461885358116,-14.28502415458936,0,19,1,75
