tau,NB,treat_rate,TP,FP,NB_low90,NB_high90,NB_all,NB_none,day,fold,T
0.05,0.10444952962115434,0.2570048309178744,116,150,0.08872734134145144,0.12354682311747078,0.1955250444952962,0,5,1,75
0.1,0.0930756843800322,0.2251207729468599,110,123,0.07759971375795802,0.11179304582953588,0.15083199141170153,0,5,1,75
0.15000000000000002,0.08263711281614095,0.2144927536231884,106,116,0.06689107284046522,0.09890374790512131,0.10088093208297808,0,5,1,75
0.2,0.07318840579710145,0.2,102,105,0.058171704886538854,0.09046450003264009,0.04468599033816423,0,5,1,75
0.25,0.06537842190016105,0.1826086956521739,98,91,0.04987161417526123,0.08355563526397149,-0.019001610305958122,0,5,1,75
0.3,0.0567287784679089,0.17681159420289855,96,87,0.041902042935498846,0.07482344543765866,-0.09178743961352662,0,5,1,75
0.35000000000000003,0.04712002972872537,0.17198067632850242,94,84,0.031381816099074415,0.06632962467131176,-0.17577108881456718,0,5,1,75
0.4,0.035748792270531383,0.16618357487922705,91,81,0.01812383242205053,0.05451732618420332,-0.27375201288244777,0,5,1,75
0.45,0.02766798418972332,0.15942028985507245,90,75,0.009140050722305084,0.047476301283607324,-0.3895476504172156,0,5,1,75
0.5,0.013526570048309178,0.15265700483091788,86,72,-0.004691850065466326,0.03458476561164485,-0.5285024154589373,0,5,1,75
0.55,8.58829844337064e-4,0.1468599033816425,84,68,-0.01906866708401583,0.02366537262225894,-0.6983360171765972,0,5,1,75
0.6000000000000001,-0.009178743961352695,0.13816425120772946,82,61,-0.032727683714820356,0.015672592283691323,-0.9106280193236721,0,5,1,75
0.6500000000000001,-0.025120772946859965,0.1294685990338164,78,56,-0.05078829610675326,0.0015639199974927357,-1.183574879227054,0,5,1,75
0.7000000000000001,-0.04734299516908215,0.12657004830917876,77,54,-0.0786625240179978,-0.015962637994924613,-1.5475040257648958,0,5,1,75
0.7500000000000001,-0.08019323671497594,0.1246376811594203,76,53,-0.11765064120238299,-0.04386331518898481,-2.057004830917876,0,5,1,75
0.8,-0.12173913043478266,0.11980676328502415,74,50,-0.17031666028680717,-0.07486248614991314,-2.821256038647344,0,5,1,75
0.8500000000000001,-0.17326892109500824,0.11014492753623188,70,44,-0.23741716633327017,-0.11197702769404136,-4.095008051529795,0,5,1,75
0.9000000000000001,-0.27826086956521795,0.09855072463768116,63,39,-0.3695000986243322,-0.2007296444819301,-6.642512077294698,0,5,1,75
0.95,-0.568115942028985,0.08888888888888889,58,34,-0.7481353082993856,-0.40383824110491495,-14.28502415458936,0,5,1,75
