donor_quintile,n,success_rate,perf_mean_capped,donors_mean
Q1,975,0.043076923076923075,0.18799354819946484,4.98974358974359
Q2,1008,0.07142857142857142,0.3365352308020215,14.505952380952381
Q3,1006,0.09940357852882704,0.4501363236300794,27.730616302186878
Q4,999,0.16116116116116116,0.5815411307707249,54.951951951951955
Q5,900,0.27444444444444444,0.7055154737273048,227.21
NA,1,NA,NA,NA
