scenario,feature
EXANTE,log_goal_amount
EXANTE,category_map
EXANTE,campaign_duration
EXANTE,sadness
EXANTE,emotional_balance
EXANTE,text_length
EXANTE,parole_per_frase
EXANTE,gratitude
EXANTE,caratteri_per_parola
