tau,NB,treat_rate,TP,FP,NB_low90,NB_high90,NB_all,NB_none,day,fold,T
0.05,0.10541571319603356,0.2579710144927536,117,150,0.0907745058257045,0.12086729428324375,0.1955250444952962,0,6,1,75
0.1,0.09694041867954911,0.2289855072463768,114,123,0.08250547014892105,0.11146164031976113,0.15083199141170153,0,6,1,75
0.15000000000000002,0.08502415458937199,0.20096618357487922,106,102,0.07125075994296325,0.10008209796572516,0.10088093208297808,0,6,1,75
0.2,0.07632850241545894,0.18743961352657004,102,92,0.06286654246234195,0.09193652368073045,0.04468599033816423,0,6,1,75
0.25,0.06666666666666668,0.1826086956521739,99,90,0.05349412653333332,0.08330611518755646,-0.019001610305958122,0,6,1,75
0.3,0.05741890959282264,0.17198067632850242,95,83,0.04305082328974241,0.07447808319043625,-0.09178743961352662,0,6,1,75
0.35000000000000003,0.05024154589371979,0.16618357487922705,94,78,0.0353822721481084,0.06808029231045906,-0.17577108881456718,0,6,1,75
0.4,0.042834138486312394,0.15555555555555556,91,70,0.027170071781631472,0.0613997603097923,-0.27375201288244777,0,6,1,75
0.45,0.03302591128678086,0.15072463768115943,89,67,0.016296671722824493,0.05251966996173121,-0.3895476504172156,0,6,1,75
0.5,0.02028985507246376,0.14202898550724638,84,63,0.001703835073829866,0.04033726627200691,-0.5285024154589373,0,6,1,75
0.55,0.009339774557165836,0.13816425120772946,83,60,-0.01132538204493721,0.031497397168421426,-0.6983360171765972,0,6,1,75
0.6000000000000001,-0.004830917874396171,0.13043478260869565,79,56,-0.026250777085781333,0.01921199744176778,-0.9106280193236721,0,6,1,75
0.6500000000000001,-0.022636300897170517,0.12367149758454106,75,53,-0.046324134353614564,0.004096317046637988,-1.183574879227054,0,6,1,75
0.7000000000000001,-0.04766505636070856,0.11980676328502415,72,52,-0.07740400184452198,-0.0172808150291233,-1.5475040257648958,0,6,1,75
0.7500000000000001,-0.08212560386473439,0.11884057971014493,71,52,-0.1194427205184727,-0.04460825033430528,-2.057004830917876,0,6,1,75
0.8,-0.12463768115942037,0.11207729468599034,67,49,-0.17157886023394014,-0.0783254289427347,-2.821256038647344,0,6,1,75
0.8500000000000001,-0.19194847020933997,0.10434782608695652,62,46,-0.2530851977737983,-0.1275517494041563,-4.095008051529795,0,6,1,75
0.9000000000000001,-0.29951690821256094,0.0966183574879227,59,41,-0.3887727233107071,-0.20756781255882012,-6.642512077294698,0,6,1,75
0.95,-0.6096618357487916,0.08599033816425121,53,36,-0.8001643263461901,-0.4296179673860171,-14.28502415458936,0,6,1,75
